Product code;Language;Product id;Category;Price;Weight;Quantity;Zero price action;Product name;Description;Taxes;Status
01010-61435;ru;01010-61435;Komatsu;167.39;0,067;7;R;01010-61435 БОЛТ, ;01010-61435 БОЛТ, ;VAT;A
01010-61490;ru;01010-61490;Komatsu;117.68;0,132;16;R;01010-61490 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ, ;01010-61490 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ, ;VAT;A
01010-61640;ru;01010-61640;Komatsu;214.62;0,096;16;R;01010-61640 БОЛТ, ;01010-61640 БОЛТ, ;VAT;A
01010-61645;ru;01010-61645;Komatsu;214.62;0,104;59;R;01010-61645 БОЛТ, ;01010-61645 БОЛТ, ;VAT;A
01010-61655;ru;01010-61655;Komatsu;259.81;0,119;80;R;01010-61655 БОЛТ, ;01010-61655 БОЛТ, ;VAT;A
01010-61660;ru;01010-61660;Komatsu;102.51;0,127;16;R;01010-61660 БОЛТ 16ММ, ;01010-61660 БОЛТ 16ММ, ;VAT;A
01010-61675;ru;01010-61675;Komatsu;132.87;0,15;2;R;01010-61675 БОЛТ, ;01010-61675 БОЛТ, ;VAT;A
01010-61690;ru;01010-61690;Komatsu;140.45;0,173;17;R;01010-61690 БОЛТ, ;01010-61690 БОЛТ, ;VAT;A
01010-62040;ru;01010-62040;Komatsu;113.89;0,166;19;R;01010-62040 БОЛТ, ;01010-62040 БОЛТ, ;VAT;A
01010-62060;ru;01010-62060;Komatsu;497.03;0,214;53;R;01010-62060 БОЛТ 20ММ, ;01010-62060 БОЛТ 20ММ, ;VAT;A
01010-62070;ru;01010-62070;Komatsu;155.64;0,238;23;R;01010-62070 БОЛТ 20ММ, ;01010-62070 БОЛТ 20ММ, ;VAT;A
01010-62075;ru;01010-62075;Komatsu;220.17;0,25;32;R;01010-62075 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ, ;01010-62075 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ, ;VAT;A
01010-62080;ru;01010-62080;Komatsu;199.29;0,262;55;R;01010-62080 БОЛТ, ;01010-62080 БОЛТ, ;VAT;A
01010-62095;ru;01010-62095;Komatsu;765.06;0,298;34;R;01010-62095 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ, ;01010-62095 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ, ;VAT;A
01010-62275;ru;01010-62275;Komatsu;218.27;0,304;70;R;01010-62275 БОЛТ, ;01010-62275 БОЛТ, ;VAT;A
01010-62285;ru;01010-62285;Komatsu;811.27;0,333;37;R;01010-62285 БОЛТ 22ММ, ;01010-62285 БОЛТ 22ММ, ;VAT;A
01010-62470;ru;01010-62470;Komatsu;511.81;0,359;30;R;01010-62470 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ, ;01010-62470 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ, ;VAT;A
01010-63085;ru;01010-63085;Komatsu;1613.29;0,7;2;R;01010-63085 БОЛТ 30ММ, ;01010-63085 БОЛТ 30ММ, ;VAT;A
01010-63090;ru;01010-63090;Komatsu;1666.68;0,727;10;R;01010-63090 БОЛТ, ;01010-63090 БОЛТ, ;VAT;A
01010-80616;ru;01010-80616;Komatsu;53.41;0,01;38;R;01010-80616 БОЛТ, ;01010-80616 БОЛТ, ;VAT;A
01010-80818;ru;01010-80818;Komatsu;53.41;0,01;1;R;01010-80818 БОЛТ, ;01010-80818 БОЛТ, ;VAT;A
01010-80820;ru;01010-80820;Komatsu;53.41;0,01;2;R;01010-80820 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ, ;01010-80820 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ, ;VAT;A
01010-80825;ru;01010-80825;Komatsu;97.55;0,02;7;R;01010-80825 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ, ;01010-80825 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ, ;VAT;A
01010-81020;ru;01010-81020;Komatsu;97.55;0,02;100;R;01010-81020 БОЛТ 10ММ, ;01010-81020 БОЛТ 10ММ, ;VAT;A
01010-81025;ru;01010-81025;Komatsu;136.58;0,03;11;R;01010-81025 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ, ;01010-81025 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ, ;VAT;A
01010-81030;ru;01010-81030;Komatsu;136.58;0,03;19;R;01010-81030 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ, ;01010-81030 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ, ;VAT;A
01010-81035;ru;01010-81035;Komatsu;136.58;0,03;13;R;01010-81035 БОЛТ, ;01010-81035 БОЛТ, ;VAT;A
01010-81040;ru;01010-81040;Komatsu;146.84;0,04;54;R;01010-81040 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ, ;01010-81040 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ, ;VAT;A
01010-81065;ru;01010-81065;Komatsu;209.49;0,05;6;R;01010-81065 БОЛТ, ;01010-81065 БОЛТ, ;VAT;A
01010-81095;ru;01010-81095;Komatsu;282.41;0,07;3;R;01010-81095 БОЛТ 10ММ, ;01010-81095 БОЛТ 10ММ, ;VAT;A
01010-81225;ru;01010-81225;Komatsu;146.84;0,04;48;R;01010-81225 БОЛТ, ;01010-81225 БОЛТ, ;VAT;A
