Product code;Manufacture code;Product id;Category;Price;Weight;Product name;Description;Taxes;Features
01010-61435;01010-61435;3992;Komatsu;167.39;0,067;БОЛТ;<p>01010-61435 БОЛТ,</p>;VAT;"(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Местонахождение товара (склад) : S[Екатеринбург]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]"
01010-61490;01010-61490;3993;Komatsu;117.68;0,132;БОЛТ;<p>01010-61490 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ</p><p><br /></p>;VAT;"(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Местонахождение товара (склад) : S[Екатеринбург]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]"
01010-61640;01010-61640;3994;Komatsu;214.62;0,096;БОЛТ;<p>01010-61640 БОЛТ,</p>;VAT;"(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Местонахождение товара (склад) : S[Екатеринбург]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]"
01010-61645;01010-61645;3995;Komatsu;214.62;0,104;БОЛТ;01010-61645 БОЛТ, ;VAT;"(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Местонахождение товара (склад) : S[Екатеринбург]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]"
01010-61655;01010-61655;3996;Komatsu;259.81;0,119;БОЛТ;01010-61655 БОЛТ, ;VAT;"(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Местонахождение товара (склад) : S[Екатеринбург]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]"
01010-61660;01010-61660;3997;Komatsu;102.51;0,127;БОЛТ;01010-61660 БОЛТ 16ММ, ;VAT;"(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Местонахождение товара (склад) : S[Екатеринбург]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]"
01010-61675;01010-61675;3998;Komatsu;132.87;0,150;БОЛТ;01010-61675 БОЛТ, ;VAT;"(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Местонахождение товара (склад) : S[Екатеринбург]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]"
01010-61690;01010-61690;3999;Komatsu;140.45;0,173;БОЛТ;01010-61690 БОЛТ, ;VAT;"(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Местонахождение товара (склад) : S[Екатеринбург]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]"
01010-62040;01010-62040;4000;Komatsu;113.89;0,166;БОЛТ;01010-62040 БОЛТ, ;VAT;"(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Местонахождение товара (склад) : S[Екатеринбург]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]"
01010-62060;01010-62060;4001;Komatsu;497.03;0,214;БОЛТ;01010-62060 БОЛТ 20ММ, ;VAT;"(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Местонахождение товара (склад) : S[Екатеринбург]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]"
01010-62070;01010-62070;4002;Komatsu;155.64;0,238;БОЛТ;01010-62070 БОЛТ 20ММ, ;VAT;"(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Местонахождение товара (склад) : S[Екатеринбург]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]"
01010-62075;01010-62075;4003;Komatsu;220.17;0,250;БОЛТ;01010-62075 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ, ;VAT;"(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Местонахождение товара (склад) : S[Екатеринбург]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]"
01010-62080;01010-62080;4004;Komatsu;199.29;0,262;БОЛТ;01010-62080 БОЛТ, ;VAT;"(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Местонахождение товара (склад) : S[Екатеринбург]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]"
01010-62095;01010-62095;4005;Komatsu;765.06;0,298;БОЛТ;01010-62095 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ, ;VAT;"(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Местонахождение товара (склад) : S[Екатеринбург]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]"
01010-62275;01010-62275;4006;Komatsu;218.27;0,304;БОЛТ;01010-62275 БОЛТ, ;VAT;"(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Местонахождение товара (склад) : S[Екатеринбург]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]"
01010-62285;01010-62285;4007;Komatsu;811.27;0,333;БОЛТ;01010-62285 БОЛТ 22ММ, ;VAT;"(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Местонахождение товара (склад) : S[Екатеринбург]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]"
01010-62470;01010-62470;4008;Komatsu;511.81;0,359;БОЛТ;01010-62470 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ, ;VAT;"(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Местонахождение товара (склад) : S[Екатеринбург]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]"
01010-63085;01010-63085;4009;Komatsu;1613.29;0,700;БОЛТ;01010-63085 БОЛТ 30ММ, ;VAT;"(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Местонахождение товара (склад) : S[Екатеринбург]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]"
01010-63090;01010-63090;4010;Komatsu;1666.68;0,727;БОЛТ;01010-63090 БОЛТ, ;VAT;"(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Местонахождение товара (склад) : S[Екатеринбург]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]"
