Product code;Language;Product id;Category;Price;Weight;Quantity;Zero price action;Product name;Description;Taxes;Status
01010-61435;ru;01010-61435;Komatsu;167.39;0,067;7;R;01010-61435 анкр, ;01010-61435 анкр, ;VAT;A
01010-61490;ru;01010-61490;Komatsu;117.68;0,132;16;R;01010-61490 анкр я ьеярхцпюммни цнкнбйни, ;01010-61490 анкр я ьеярхцпюммни цнкнбйни, ;VAT;A
01010-61640;ru;01010-61640;Komatsu;214.62;0,096;16;R;01010-61640 анкр, ;01010-61640 анкр, ;VAT;A
01010-61645;ru;01010-61645;Komatsu;214.62;0,104;59;R;01010-61645 анкр, ;01010-61645 анкр, ;VAT;A
01010-61655;ru;01010-61655;Komatsu;259.81;0,119;80;R;01010-61655 анкр, ;01010-61655 анкр, ;VAT;A
01010-61660;ru;01010-61660;Komatsu;102.51;0,127;16;R;01010-61660 анкр 16лл, ;01010-61660 анкр 16лл, ;VAT;A
01010-61675;ru;01010-61675;Komatsu;132.87;0,15;2;R;01010-61675 анкр, ;01010-61675 анкр, ;VAT;A
01010-61690;ru;01010-61690;Komatsu;140.45;0,173;17;R;01010-61690 анкр, ;01010-61690 анкр, ;VAT;A
01010-62040;ru;01010-62040;Komatsu;113.89;0,166;19;R;01010-62040 анкр, ;01010-62040 анкр, ;VAT;A
01010-62060;ru;01010-62060;Komatsu;497.03;0,214;53;R;01010-62060 анкр 20лл, ;01010-62060 анкр 20лл, ;VAT;A
01010-62070;ru;01010-62070;Komatsu;155.64;0,238;23;R;01010-62070 анкр 20лл, ;01010-62070 анкр 20лл, ;VAT;A
01010-62075;ru;01010-62075;Komatsu;220.17;0,25;32;R;01010-62075 анкр я ьеярхцпюммни цнкнбйни, ;01010-62075 анкр я ьеярхцпюммни цнкнбйни, ;VAT;A
01010-62080;ru;01010-62080;Komatsu;199.29;0,262;55;R;01010-62080 анкр, ;01010-62080 анкр, ;VAT;A
01010-62095;ru;01010-62095;Komatsu;765.06;0,298;34;R;01010-62095 анкр я ьеярхцпюммни цнкнбйни, ;01010-62095 анкр я ьеярхцпюммни цнкнбйни, ;VAT;A
01010-62275;ru;01010-62275;Komatsu;218.27;0,304;70;R;01010-62275 анкр, ;01010-62275 анкр, ;VAT;A
01010-62285;ru;01010-62285;Komatsu;811.27;0,333;37;R;01010-62285 анкр 22лл, ;01010-62285 анкр 22лл, ;VAT;A
01010-62470;ru;01010-62470;Komatsu;511.81;0,359;30;R;01010-62470 анкр я ьеярхцпюммни цнкнбйни, ;01010-62470 анкр я ьеярхцпюммни цнкнбйни, ;VAT;A
01010-63085;ru;01010-63085;Komatsu;1613.29;0,7;2;R;01010-63085 анкр 30лл, ;01010-63085 анкр 30лл, ;VAT;A
01010-63090;ru;01010-63090;Komatsu;1666.68;0,727;10;R;01010-63090 анкр, ;01010-63090 анкр, ;VAT;A
01010-80616;ru;01010-80616;Komatsu;53.41;0,01;38;R;01010-80616 анкр, ;01010-80616 анкр, ;VAT;A
01010-80818;ru;01010-80818;Komatsu;53.41;0,01;1;R;01010-80818 анкр, ;01010-80818 анкр, ;VAT;A
01010-80820;ru;01010-80820;Komatsu;53.41;0,01;2;R;01010-80820 анкр я ьеярхцпюммни цнкнбйни, ;01010-80820 анкр я ьеярхцпюммни цнкнбйни, ;VAT;A
01010-80825;ru;01010-80825;Komatsu;97.55;0,02;7;R;01010-80825 анкр я ьеярхцпюммни цнкнбйни, ;01010-80825 анкр я ьеярхцпюммни цнкнбйни, ;VAT;A
01010-81020;ru;01010-81020;Komatsu;97.55;0,02;100;R;01010-81020 анкр 10лл, ;01010-81020 анкр 10лл, ;VAT;A
01010-81025;ru;01010-81025;Komatsu;136.58;0,03;11;R;01010-81025 анкр я ьеярхцпюммни цнкнбйни, ;01010-81025 анкр я ьеярхцпюммни цнкнбйни, ;VAT;A
01010-81030;ru;01010-81030;Komatsu;136.58;0,03;19;R;01010-81030 анкр я ьеярхцпюммни цнкнбйни, ;01010-81030 анкр я ьеярхцпюммни цнкнбйни, ;VAT;A
01010-81035;ru;01010-81035;Komatsu;136.58;0,03;13;R;01010-81035 анкр, ;01010-81035 анкр, ;VAT;A
01010-81040;ru;01010-81040;Komatsu;146.84;0,04;54;R;01010-81040 анкр я ьеярхцпюммни цнкнбйни, ;01010-81040 анкр я ьеярхцпюммни цнкнбйни, ;VAT;A
01010-81065;ru;01010-81065;Komatsu;209.49;0,05;6;R;01010-81065 анкр, ;01010-81065 анкр, ;VAT;A
01010-81095;ru;01010-81095;Komatsu;282.41;0,07;3;R;01010-81095 анкр 10лл, ;01010-81095 анкр 10лл, ;VAT;A
01010-81225;ru;01010-81225;Komatsu;146.84;0,04;48;R;01010-81225 анкр, ;01010-81225 анкр, ;VAT;A
01010-81230;ru;01010-81230;Komatsu;146.84;0,04;92;R;01010-81230 анкр, ;01010-81230 анкр, ;VAT;A
01010-81235;ru;01010-81235;Komatsu;146.84;0,04;12;R;01010-81235 анкр, ;01010-81235 анкр, ;VAT;A
01010-81245;ru;01010-81245;Komatsu;237.22;0,06;23;R;01010-81245 анкр я ьеярхцпюммни цнкнбйни, ;01010-81245 анкр я ьеярхцпюммни цнкнбйни, ;VAT;A
01010-81250;ru;01010-81250;Komatsu;251.6;0,06;6;R;01010-81250 анкр 12лл, ;01010-81250 анкр 12лл, ;VAT;A
01010-81255;ru;01010-81255;Komatsu;251.6;0,06;7;R;01010-81255 анкр 12лл, ;01010-81255 анкр 12лл, ;VAT;A
01010-81280;ru;01010-81280;Komatsu;356.35;0,09;27;R;01010-81280 анкр я ьеярхцпюммни цнкнбйни, ;01010-81280 анкр я ьеярхцпюммни цнкнбйни, ;VAT;A
01010-81285;ru;01010-81285;Komatsu;356.35;0,09;10;R;01010-81285 анкр, ;01010-81285 анкр, ;VAT;A
01010-E1225;ru;01010-E1225;Komatsu;195.12;0,039;20;R;01010-E1225 анкр, ;01010-E1225 анкр, ;VAT;A
01010-E1230;ru;01010-E1230;Komatsu;199.22;0,04;37;R;01010-E1230 анкр, ;01010-E1230 анкр, ;VAT;A
01010-E1235;ru;01010-E1235;Komatsu;246.46;0,05;18;R;01010-E1235 анкр, ;01010-E1235 анкр, ;VAT;A
01010-E1240;ru;01010-E1240;Komatsu;251.6;0,05;7;R;01010-E1240 анкр, ;01010-E1240 анкр, ;VAT;A
01010-E1245;ru;01010-E1245;Komatsu;203.32;0,06;18;R;01010-E1245 анкр, ;01010-E1245 анкр, ;VAT;A
01010-E1265;ru;01010-E1265;Komatsu;287.54;0,06;50;R;01010-E1265 анкр, ;01010-E1265 анкр, ;VAT;A
01011-61880;ru;01011-61880;Komatsu;974.54;0,402;14;R;01011-61880 анкр я ьеярхцпюммни цнкнбйни, ;01011-61880 анкр я ьеярхцпюммни цнкнбйни, ;VAT;A
01011-62425;ru;01011-62425;Komatsu;1288.78;0,549;1;R;01011-62425 анкр, ;01011-62425 анкр, ;VAT;A
01011-62450;ru;01011-62450;Komatsu;558.02;0,635;28;R;01011-62450 анкр я ьеярхцпюммни цнкнбйни, ;01011-62450 анкр я ьеярхцпюммни цнкнбйни, ;VAT;A
01011-62455;ru;01011-62455;Komatsu;713.65;0,652;8;R;01011-62455 анкр, ;01011-62455 анкр, ;VAT;A
01011-62475;ru;01011-62475;Komatsu;721.24;0,721;4;R;01011-62475 анкр, ;01011-62475 анкр, ;VAT;A
01011-62710;ru;01011-62710;Komatsu;1476.7;0,653;201;R;01011-62710 анкр 27лл, ;01011-62710 анкр 27лл, ;VAT;A
01011-62720;ru;01011-62720;Komatsu;880.67;0,696;36;R;01011-62720 аНКР, ;01011-62720 аНКР, ;VAT;A
01011-62790;ru;01011-62790;Komatsu;897.75;1,002;8;R;01011-62790 анкр, ;01011-62790 анкр, ;VAT;A
01011-63000;ru;01011-63000;Komatsu;988.86;0,781;9;R;01011-63000 анкр, ;01011-63000 анкр, ;VAT;A
01011-81010;ru;01011-81010;Komatsu;324.51;0,08;6;R;01011-81010 анкр, ;01011-81010 анкр, ;VAT;A
01011-81210;ru;01011-81210;Komatsu;108.19;0,11;7;R;01011-81210 анкр, ;01011-81210 анкр, ;VAT;A
01011-81220;ru;01011-81220;Komatsu;104.4;0,12;2;R;01011-81220 анкр, ;01011-81220 анкр, ;VAT;A
01011-81280;ru;01011-81280;Komatsu;607.95;0,17;8;R;01011-81280 анкр, ;01011-81280 анкр, ;VAT;A
01011-82215;ru;01011-82215;Komatsu;1062.86;0,5;1;R;01011-82215 анкр, ;01011-82215 анкр, ;VAT;A
01016-51035;ru;01016-51035;Komatsu;24.66;0,03;1;R;01016-51035 анкр я ьеярхцпюммни цнкнбйни, ;01016-51035 анкр я ьеярхцпюммни цнкнбйни, ;VAT;A
01018-22485;ru;01018-22485;Komatsu;940.65;0,393;40;R;01018-22485 анкр, ;01018-22485 анкр, ;VAT;A
01018-22490;ru;01018-22490;Komatsu;985.84;0,428;28;R;01018-22490 анкр, ;01018-22490 анкр, ;VAT;A
01018-23095;ru;01018-23095;Komatsu;1256.49;0,754;80;R;01018-23095 анкр, ;01018-23095 анкр, ;VAT;A
01018-31095;ru;01018-31095;Komatsu;209.49;0,07;1;R;01018-31095 анкр, ;01018-31095 анкр, ;VAT;A
01020-11060;ru;01020-11060;Komatsu;1444.88;0,05;2;R;01020-11060 анкр, ;01020-11060 анкр, ;VAT;A
01023-20410;ru;01023-20410;Komatsu;89.34;0,002;1;R;01023-20410 анкр, ;01023-20410 анкр, ;VAT;A
01050-61260;ru;01050-61260;Komatsu;157.11;0,07;16;R;01050-61260 анкр, ;01050-61260 анкр, ;VAT;A
01050-61475;ru;01050-61475;Komatsu;125.28;0,11;16;R;01050-61475 анкр я ьеярхцпюммни цнкнбйни, ;01050-61475 анкр я ьеярхцпюммни цнкнбйни, ;VAT;A
01050-62060;ru;01050-62060;Komatsu;485.73;0,21;6;R;01050-62060 анкр, ;01050-62060 анкр, ;VAT;A
01144-82050;ru;01144-82050;Komatsu;1379.15;0,12;37;R;01144-82050 ьохкэйю, ;01144-82050 ьохкэйю, ;VAT;A
01220-40412;ru;01220-40412;Komatsu;ЮБЦ.21;0,005;2;R;01220-40412 бхмр, ;01220-40412 бхмр, ;VAT;A
01252-30845;ru;01252-30845;Komatsu;85.23;0,02;7;R;01252-30845 анкр, ;01252-30845 анкр, ;VAT;A
01252-30880;ru;01252-30880;Komatsu;153.01;0,04;4;R;01252-30880 анкр, ;01252-30880 анкр, ;VAT;A
01252-60835;ru;01252-60835;Komatsu;60.74;0,02;7;R;01252-60835 анкр, ;01252-60835 анкр, ;VAT;A
01252-70625;ru;01252-70625;Komatsu;34.91;0,01;4;R;01252-70625 анкр, ;01252-70625 анкр, ;VAT;A
01252-71030;ru;01252-71030;Komatsu;41.77;0,03;2;R;01252-71030 анкр, ;01252-71030 анкр, ;VAT;A
01252-80612;ru;01252-80612;Komatsu;21.57;0,01;4;R;01252-80612 анкр, ;01252-80612 анкр, ;VAT;A
01435-00625;ru;01435-00625;Komatsu;29.78;0,01;2;R;01435-00625 анкр, ;01435-00625 анкр, ;VAT;A
01435-00630;ru;01435-00630;Komatsu;32.87;0,01;4;R;01435-00630 анкр, ;01435-00630 анкр, ;VAT;A
01435-00635;ru;01435-00635;Komatsu;101.67;0,009;5;R;01435-00635 анкр, ;01435-00635 анкр, ;VAT;A
01435-00812;ru;01435-00812;Komatsu;36.98;0,01;22;R;01435-00812 анкр, ;01435-00812 анкр, ;VAT;A
01435-00820;ru;01435-00820;Komatsu;44.16;0,01;9;R;01435-00820 анкр, ;01435-00820 анкр, ;VAT;A
