Product code;Language;Product id;Category;Price;Weight;Quantity;Date added;Description;Features;SEO name;Status
01010-61435;ru;3992;Komatsu;167.39;0.067;0;24 Sep 2019 12:35:37;<p>01010-61435 БОЛТ.</p>;"Бренд: S[Komatsu]; Страна производитель: S[Япония]; Производитель: S[Komatsu Ltd.]";01010-61435-ankr;A
01010-61490;ru;3993;Komatsu;117.68;0.132;2;24 Sep 2019 12:35:37;<p>01010-61490 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ</p><p><br /></p>;"Бренд: S[Komatsu]; Страна производитель: S[Япония]; Производитель: S[Komatsu Ltd.]";01010-61490-ankr-ya-eyarhcpyummni-cnknbyni;A
01010-61640;ru;3994;Komatsu;214.62;0.096;0;24 Sep 2019 12:35:37;<p>01010-61640 БОЛТ.</p>;"Бренд: S[Komatsu]; Страна производитель: S[Япония]; Производитель: S[Komatsu Ltd.]";01010-61640-ankr;A
01010-61645;ru;3995;Komatsu;214.62;0.104;58;24 Sep 2019 12:35:37;01010-61645 БОЛТ. ;"Бренд: S[Komatsu]; Страна производитель: S[Япония]; Производитель: S[Komatsu Ltd.]";01010-61645-ankr;A
01010-61655;ru;3996;Komatsu;259.81;0.119;75;24 Sep 2019 12:35:37;01010-61655 БОЛТ. ;"Бренд: S[Komatsu]; Страна производитель: S[Япония]; Производитель: S[Komatsu Ltd.]";01010-61655-ankr;A
01010-61660;ru;3997;Komatsu;102.51;0.127;15;24 Sep 2019 12:35:37;01010-61660 БОЛТ 16ММ. ;"Бренд: S[Komatsu]; Страна производитель: S[Япония]; Производитель: S[Komatsu Ltd.]";01010-61660-ankr-16ll;A
01010-61675;ru;3998;Komatsu;132.87;0.15;2;24 Sep 2019 12:35:37;01010-61675 БОЛТ. ;"Бренд: S[Komatsu]; Страна производитель: S[Япония]; Производитель: S[Komatsu Ltd.]";01010-61675-ankr;A
01010-61690;ru;3999;Komatsu;140.45;0.173;13;24 Sep 2019 12:35:37;01010-61690 БОЛТ. ;"Бренд: S[Komatsu]; Страна производитель: S[Япония]; Производитель: S[Komatsu Ltd.]";01010-61690-ankr;A
01010-62040;ru;4000;Komatsu;113.89;0.166;19;24 Sep 2019 12:35:37;01010-62040 БОЛТ. ;"Бренд: S[Komatsu]; Страна производитель: S[Япония]; Производитель: S[Komatsu Ltd.]";01010-62040-ankr;A
01010-62060;ru;4001;Komatsu;497.03;0.214;53;24 Sep 2019 12:35:37;01010-62060 БОЛТ 20ММ. ;"Бренд: S[Komatsu]; Страна производитель: S[Япония]; Производитель: S[Komatsu Ltd.]";01010-62060-ankr-20ll;A
01010-62070;ru;4002;Komatsu;155.64;0.238;23;24 Sep 2019 12:35:37;01010-62070 БОЛТ 20ММ. ;"Бренд: S[Komatsu]; Страна производитель: S[Япония]; Производитель: S[Komatsu Ltd.]";01010-62070-ankr-20ll;A
01010-62075;ru;4003;Komatsu;220.17;0.25;32;24 Sep 2019 12:35:37;01010-62075 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ. ;"Бренд: S[Komatsu]; Страна производитель: S[Япония]; Производитель: S[Komatsu Ltd.]";01010-62075-ankr-ya-eyarhcpyummni-cnknbyni;A
01010-62080;ru;4004;Komatsu;199.29;0.262;55;24 Sep 2019 12:35:37;01010-62080 БОЛТ. ;"Бренд: S[Komatsu]; Страна производитель: S[Япония]; Производитель: S[Komatsu Ltd.]";01010-62080-ankr;A
01010-62095;ru;4005;Komatsu;765.06;0.298;34;24 Sep 2019 12:35:37;01010-62095 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ. ;"Бренд: S[Komatsu]; Страна производитель: S[Япония]; Производитель: S[Komatsu Ltd.]";01010-62095-ankr-ya-eyarhcpyummni-cnknbyni;A
01010-62275;ru;4006;Komatsu;218.27;0.304;70;24 Sep 2019 12:35:37;01010-62275 БОЛТ. ;"Бренд: S[Komatsu]; Страна производитель: S[Япония]; Производитель: S[Komatsu Ltd.]";01010-62275-ankr;A
01010-62285;ru;4007;Komatsu;811.27;0.333;37;24 Sep 2019 12:35:37;01010-62285 БОЛТ 22ММ. ;"Бренд: S[Komatsu]; Страна производитель: S[Япония]; Производитель: S[Komatsu Ltd.]";01010-62285-ankr-22ll;A
01010-62470;ru;4008;Komatsu;511.81;0.359;30;24 Sep 2019 12:35:37;01010-62470 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ. ;"Бренд: S[Komatsu]; Страна производитель: S[Япония]; Производитель: S[Komatsu Ltd.]";01010-62470-ankr-ya-eyarhcpyummni-cnknbyni;A
01010-63085;ru;4009;Komatsu;1613.29;0.7;2;24 Sep 2019 12:35:37;01010-63085 БОЛТ 30ММ. ;"Бренд: S[Komatsu]; Страна производитель: S[Япония]; Производитель: S[Komatsu Ltd.]";01010-63085-ankr-30ll;A
01010-63090;ru;4010;Komatsu;1666.68;0.727;10;24 Sep 2019 12:35:37;01010-63090 БОЛТ. ;"Бренд: S[Komatsu]; Страна производитель: S[Япония]; Производитель: S[Komatsu Ltd.]";01010-63090-ankr;A
01010-80616;ru;4011;Komatsu;53.41;0.01;38;24 Sep 2019 12:35:37;01010-80616 БОЛТ. ;"Бренд: S[Komatsu]; Страна производитель: S[Япония]; Производитель: S[Komatsu Ltd.]";01010-80616-ankr;A
01010-80818;ru;4012;Komatsu;53.41;0.01;1;24 Sep 2019 12:35:37;01010-80818 БОЛТ. ;"Бренд: S[Komatsu]; Страна производитель: S[Япония]; Производитель: S[Komatsu Ltd.]";01010-80818-ankr;A
