ID - код товара учетной системы поставщика	Название компании	Артикул производителя запчасти	Производитель запчасти	Наименование запчасти	Описание запчасти в свободной форме	Вес, кг	Склад	Валюта	Ставка НДС	Город наличия товаров	"Список номеров аналогов, на которые еще подходит данная запчасть (для поиска) перечислены через "";"""	"Список брендов техники, на которые подходит запчасть (для поиска) перечислены через "";"""
00-00021887	ООО "Компания ИмПарт"	01010-31020	ITR	01010-31020 Болт 01010-81020	Болт 01010-81020	0,02	24;10,00	RUR	НДС 20%	Екатеринбург		KOMATSU
00-00002028	ООО "Компания ИмПарт"	01010-31225	ITR	01010-31225-US БОЛТ	01010-31225-US БОЛТ	0,04	4;13,00	RUR	НДС 20%	Екатеринбург	01010-31225; 01010-E1225	KOMATSU
00-00003140	ООО "Компания ИмПарт"	01010-31675	ITR	01010-31675-US БОЛТ КАТКА ОПОРНОГО	01010-31675-US БОЛТ КАТКА ОПОРНОГО	0,15	15;40,00	RUR	НДС 20%	Екатеринбург	01010-31675; M16X75	
00-00021902	ООО "Компания ИмПарт"	01010-31885	ITR	01010-31885-US БОЛТ КАТКА ПОДДЕРЖИВАЮЩЕГО	01010-31885-US БОЛТ КАТКА ПОДДЕРЖИВАЮЩЕГО	0,22	60;140,00	RUR	НДС 20%	Екатеринбург	01010-61885; 01010-81885	KOMATSU
00-00002029	ООО "Компания ИмПарт"	01010-32265	ITR	01010-32265-US БОЛТ ЗВЕЗДОЧКИ	01010-32265-US БОЛТ ЗВЕЗДОЧКИ	0,237	131;140,00	RUR	НДС 20%	Екатеринбург	S017-220652; J932265; 01010-82265; 81QB-19670; 01010-32265; M22X65X2.5	
00-00003142	ООО "Компания ИмПарт"	01010-32275	ITR	01010-32275-US БОЛТ КАТКА ОПОРНОГО	01010-32275-US БОЛТ КАТКА ОПОРНОГО	0,2	444;84,00	RUR	НДС 20%	Екатеринбург	01010-32275; 01010-62275; U16023; 71447248; J932270; S017-220702; 01010-52275; M22X2.5X75	KOMATSU
00-00236444	ООО "Компания ИмПарт"	01010-32285	JEMCO	01010-32285-JC БОЛТ КАТКА	01010-32285-JC БОЛТ КАТКА	0,33	268;93,00	RUR	НДС 20%	Екатеринбург	01010-32285; 01010-62285; 01010-82285; M22X85	KOMATSU
00-00002030	ООО "Компания ИмПарт"	01010-32455	ITR	01010-32455-US БОЛТ	01010-32455-US БОЛТ	0,3	5;92,00	RUR	НДС 20%	Екатеринбург	01010-32455; 01010-62455; M24X55	KOMATSU
00-00021719	ООО "Компания ИмПарт"	01010-61485	KOMATSU	01010-61485 Болт	Болт	0,126	10;123,00	RUR	НДС 20%	Екатеринбург	01010-31485-HX;	
00-00022650	ООО "Компания ИмПарт"	01010-61645-GA	GA	01010-61645-GA Болт 01010-81645/01010-31645	Болт 01010-81645/01010-31645	0,095	6;54,00	RUR	НДС 20%	Екатеринбург		
00-00177186	ООО "Компания ИмПарт"	01010-62490	ITR	01010-62490-US БОЛТ	01010-62490-US БОЛТ	0,428	52;101,00	RUR	НДС 20%	Екатеринбург	01010-32490; 7X-2577; 01010-52490; U13854; 01010-62490; 01010-82490; 7X2577	KOMATSU
00-00002031	ООО "Компания ИмПарт"	01010-62795	ITR	01010-62795-US БОЛТ	01010-62795-US БОЛТ	0,65	4;361,00	RUR	НДС 20%	Екатеринбург	01010-62795; M27X100X3.0	KOMATSU
00-00010328	ООО "Компания ИмПарт"	01010-81245	KOMATSU	01010-81245 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ	01010-81245 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ	0,06	15;219,00	RUR	НДС 20%	Екатеринбург		
00-00009344	ООО "Компания ИмПарт"	01010-81280	KOMATSU	01010-81280 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ	01010-81280 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ	0,09	22;330,00	RUR	НДС 20%	Екатеринбург		
00-00003145	ООО "Компания ИмПарт"	01010-82080	ITR	01010-82080-US БОЛТ КАТКА ПОДДЕРЖИВАЮЩЕГО	01010-82080-US БОЛТ КАТКА ПОДДЕРЖИВАЮЩЕГО	0,15	72;55,00	RUR	НДС 20%	Екатеринбург		
00-00009263	ООО "Компания ИмПарт"	01011-62400	KOMATSU	01011-62400 БОЛТ	01011-62400 БОЛТ	0,462	42;160,00	RUR	НДС 20%	Екатеринбург		
