Product code;Language;Product id;Category;List price;Price;Weight;Quantity;Min quantity;Shipping freight;Date added;Downloadable;Files;Ship downloadable;Inventory tracking;Free shipping;Zero price action;Thumbnail;Detailed image;Product name;Description;Meta keywords;Meta description;Search words;Page title;Taxes;Features;Options;Secondary categories;SEO name;Short description;Status;Popularity
"01010-61435";"ru";"7698";"Komatsu";"0.00";"165.00";"0.067";"9";"0";"0.00";"11 Oct 2019 10:47:17";"N";"";"N";"B";"N";"R";"";"";"01010-61435 БОЛТ,";"01010-61435 БОЛТ. ";"";"";"";"";"VAT";"Бренд: S[Komatsu]";"";"";"01010-61435-bolt";"";"A";"163"
"01010-61490";"ru";"7699";"Komatsu";"0.00";"116.00";"0.132";"8";"0";"0.00";"11 Oct 2019 10:47:17";"N";"";"N";"B";"N";"R";"";"";"01010-61490 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ, ";"01010-61490 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ. ";"";"";"";"";"VAT";"Бренд: S[Komatsu]";"";"";"01010-61490-bolt-s-shestigrannoy-golovkoy";"";"A";"305"
"01010-61640";"ru";"7700";"Komatsu";"0.00";"212.00";"0.096";"8";"0";"0.00";"11 Oct 2019 10:47:17";"N";"";"N";"B";"N";"R";"";"";"01010-61640 БОЛТ, ";"01010-61640 БОЛТ. ";"";"";"";"";"VAT";"Бренд: S[Komatsu]";"";"";"01010-61640-bolt";"";"A";"139"
"01010-61645";"ru";"7701";"Komatsu";"0.00";"212.00";"0.104";"10";"0";"0.00";"11 Oct 2019 10:47:17";"N";"";"N";"B";"N";"R";"";"";"01010-61645 БОЛТ, ";"01010-61645 БОЛТ. ";"";"";"";"";"VAT";"Бренд: S[Komatsu]";"";"";"01010-61645-bolt";"";"A";"72"
"01010-61655";"ru";"7702";"Komatsu";"0.00";"256.00";"0.119";"10";"0";"0.00";"11 Oct 2019 10:47:17";"N";"";"N";"B";"N";"R";"";"";"01010-61655 БОЛТ, ";"01010-61655 БОЛТ. ";"";"";"";"";"VAT";"Бренд: S[Komatsu]";"";"";"01010-61655-bolt";"";"A";"81"
"01010-61660";"ru";"7703";"Komatsu";"0.00";"101.00";"0.127";"10";"0";"0.00";"11 Oct 2019 10:47:17";"N";"";"N";"B";"N";"R";"";"";"01010-61660 БОЛТ 16ММ, ";"01010-61660 БОЛТ 16ММ. ";"";"";"";"";"VAT";"Бренд: S[Komatsu]";"";"";"01010-61660-bolt-16mm";"";"A";"78"
"01010-61675";"ru";"7704";"Komatsu";"0.00";"131.00";"0.150";"10";"0";"0.00";"11 Oct 2019 10:47:17";"N";"";"N";"B";"N";"R";"";"";"01010-61675 БОЛТ, ";"01010-61675 БОЛТ. ";"";"";"";"";"VAT";"Бренд: S[Komatsu]";"";"";"01010-61675-bolt";"";"A";"57"
"01010-61690";"ru";"7705";"Komatsu";"0.00";"138.00";"0.173";"10";"0";"0.00";"11 Oct 2019 10:47:17";"N";"";"N";"B";"N";"R";"";"";"01010-61690 БОЛТ, ";"01010-61690 БОЛТ. ";"";"";"";"";"VAT";"Бренд: S[Komatsu]";"";"";"01010-61690-bolt";"";"A";"57"
"01010-62040";"ru";"7706";"Komatsu";"0.00";"112.00";"0.166";"10";"0";"0.00";"11 Oct 2019 10:47:17";"N";"";"N";"B";"N";"R";"";"";"01010-62040 БОЛТ, ";"01010-62040 БОЛТ. ";"";"";"";"";"VAT";"Бренд: S[Komatsu]";"";"";"01010-62040-bolt";"";"A";"57"
"01010-62060";"ru";"7707";"Komatsu";"0.00";"497.03";"0.214";"53";"0";"0.00";"22 Oct 2019 10:56:38";"N";"";"N";"B";"N";"R";"";"";"";"01010-62060 БОЛТ 20ММ. ";"";"";"";"";"";"Бренд: S[Komatsu]";"";"";"product-7707";"";"A";""
