(Основные характеристики) Код производителя;Номенклатура;Описание;Ед. изм.;Текстовые аналоги;(Основные характеристики) Страна производитель;(Основные характеристики) Бренд;Категрия;Вес (числитель);Артикул;(Основные характеристики) Производитель;Модель;Цена;Конечный остаток;Vendor
01010-81245;01010-81245 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ;01010-81245 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ;шт;;Япония;Komatsu;Komatsu;0,060;01010-81245;Komatsu Ltd;;207;14,000;ИмПарт
01010-81280;01010-81280 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ;01010-81280 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ;шт;;Япония;Komatsu;Komatsu;0,090;01010-81280;Komatsu Ltd;;311;22,000;ИмПарт
01011-62710;01011-62710 БОЛТ 27ММ;01011-62710 БОЛТ 27ММ;шт;;Япония;Komatsu;Komatsu;0,653;01011-62710;Komatsu Ltd;;1 287;500,000;ИмПарт
01643-22460;01643-22460 ШАЙБА;01643-22460 ШАЙБА;шт;;Япония;Komatsu;Komatsu;0,061;01643-22460;Komatsu Ltd;D275A-5;251;94,000;ИмПарт
04020-00616;04020-00616 УСТАНОВОЧНЫЙ ШТИФТ;04020-00616 УСТАНОВОЧНЫЙ ШТИФТ;шт;;Япония;Komatsu;Komatsu;0,010;04020-00616;Komatsu Ltd;;53;484,000;ИмПарт
04022-20040;04022-20040 ПАЛЕЦ ФИКСИРУЮЩИЙ СТАЛЬ;04022-20040 ПАЛЕЦ ФИКСИРУЮЩИЙ СТАЛЬ;шт;;Япония;Komatsu;Komatsu;0,090;04022-20040;Komatsu Ltd;;1 453;8,000;ИмПарт
07000-12010;"07000-12010 ПРОКЛАДКА ТИП ""О""";"07000-12010 ПРОКЛАДКА ТИП ""О""";шт;;Япония;Komatsu;Komatsu;0,001;07000-12010;Komatsu Ltd;;64;5,000;ИмПарт
07000-15140;07000-15140 О-КОЛЬЦО;07000-15140 О-КОЛЬЦО;шт;;Япония;Komatsu;Komatsu;0,010;07000-15140;Komatsu Ltd;PC300-8;542;1,000;ИмПарт
07000-15210;07000-15210 О-КОЛЬЦО 07000-05210;07000-15210 О-КОЛЬЦО 07000-05210;шт;;Япония;Komatsu;Komatsu;0,020;07000-15210;Komatsu Ltd;"HD605-7R; HD465-7R; PC300-8; PC400-8";664;6,000;ИмПарт
07000-45220;07000-45220 О-КОЛЬЦО;07000-45220 О-КОЛЬЦО;шт;;Япония;Komatsu;Komatsu;0,023;07000-45220;Komatsu Ltd;;1 863;1,000;ИмПарт
07000-55240;"07000-55240 ПРОКЛАДКА ТИП ""О""";"07000-55240 ПРОКЛАДКА ТИП ""О""";шт;;Япония;Komatsu;Komatsu;0,030;07000-55240;Komatsu Ltd;;1 938;1,000;ИмПарт
07000-72075;"07000-72075 ПРОКЛАДКА ТИП ""О""";"07000-72075 ПРОКЛАДКА ТИП ""О""";шт;;Япония;Komatsu;Komatsu;0,010;07000-72075;Komatsu Ltd;;449;10,000;ИмПарт
07000-75210;07000-75210 О-КОЛЬЦО;07000-75210 О-КОЛЬЦО;шт;;Япония;Komatsu;Komatsu;0,020;07000-75210;Komatsu Ltd;;1 313;1,000;ИмПарт
07002-51423;"07002-51423 ПРОКЛАДКА ТИП ""О""";"07002-51423 ПРОКЛАДКА ТИП ""О""";шт;;Япония;Komatsu;Komatsu;0,010;07002-51423;Komatsu Ltd;;175;19,000;ИмПарт
07102-30412;07102-30412 ШЛАНГ;07102-30412 ШЛАНГ;шт;;Япония;Komatsu;Komatsu;0,950;07102-30412;Komatsu Ltd;;3 736;1,000;ИмПарт
07102-30512;07102-30512 ШЛАНГ;07102-30512 ШЛАНГ;шт;;Япония;Komatsu;Komatsu;1,250;07102-30512;Komatsu Ltd;;5 002;2,000;ИмПарт
07122-11019;07122-11019 ШЛАНГ;07122-11019 ШЛАНГ;шт;;Япония;Komatsu;Komatsu;4,200;07122-11019;Komatsu Ltd;;20 414;8,000;ИмПарт
