ID - код товара учетной системы поставщика	Название компании	Артикул производителя запчасти	Производитель запчасти	Наименование запчасти	Описание запчасти в свободной форме	Вес, кг	Склад	Валюта	Ставка НДС	Город наличия товаров	"Список номеров аналогов, на которые еще подходит данная запчасть (для поиска) перечислены через "";"""	"Список брендов техники, на которые подходит запчасть (для поиска) перечислены через "";"""
00-00185434	Бомаг 	707-88-60310	Бомаг 	707-88-60310 ШТИФТ	707-88-60310 ШТИФТ	0,100	11;10286,68	RUR	НДС 20%	Москва	707-88-60310	Бомаг 
00-00185436	Бомаг 	21T-64-33841	Бомаг 	21T-64-33841 АККУМУЛЯТОР	21T-64-33841 АККУМУЛЯТОР	2,000	1;45922,00	RUR	НДС 20%	Москва	21T-64-33841	Бомаг 
00-00185437	Бомаг 	775-HL-200AS	Бомаг 	775-HL-200AS АДАПТЕР	775-HL-200AS АДАПТЕР	6,810	3;4428,52	RUR	НДС 20%	Москва	775-HL-200AS	Бомаг 
00-00185445	Бомаг 	42N-62-14541	Бомаг 	42N-62-14541 ШЛАНГ	42N-62-14541 ШЛАНГ	2,200	2;4529,30	RUR	НДС 20%	Москва	42N-62-14541	Бомаг 
00-00185451	Бомаг 	20Y-06-49890	Бомаг 	20Y-06-49890 ПЕРЕКЛЮЧАТЕЛЬ (шт)	20Y-06-49890 ПЕРЕКЛЮЧАТЕЛЬ (шт)	0,030	2;8749,39	RUR	НДС 20%	Москва	20Y-06-49890	Бомаг 
00-00185460	Бомаг 	154-81-11191B	Бомаг 	154-81-11191B РЕЖУЩИЙ НОЖ ОТВАЛА	154-81-11191B РЕЖУЩИЙ НОЖ ОТВАЛА	38,000	5;12669,24	RUR	НДС 20%	Москва	154-81-11191B	Бомаг 
00-00185461	Бомаг 	561-03-83160	Бомаг 	561-03-83160 ШЛАНГ	561-03-83160 ШЛАНГ	1,480	2;13283,83	RUR	НДС 20%	Москва	561-03-83160	Бомаг 
00-00185471	Бомаг 	42N-856-5290	Бомаг 	42N-856-5290 ВТУЛКА	42N-856-5290 ВТУЛКА	0,350	6;1659,69	RUR	НДС 20%	Москва	42N-856-5290	Бомаг 
00-00185476	Бомаг 	42N-06-13242	Бомаг 	42N-06-13242 ПЕРЕКЛЮЧАТЕЛЬ	42N-06-13242 ПЕРЕКЛЮЧАТЕЛЬ	0,040	2;2819,77	RUR	НДС 20%	Москва	42N-06-13242	Бомаг 
00-00185492	Бомаг 	CA0149703	Бомаг 	CA0149703 ПРОКЛАДКА	CA0149703 ПРОКЛАДКА	0,020	21;5565,45	RUR	НДС 20%	Москва	CA0149703	Бомаг 
00-00185496	Бомаг 	96906240	Бомаг 	96906240 ВТУЛКА	96906240 ВТУЛКА	3,500	4;97533,35	RUR	НДС 20%	Москва	96906240	Бомаг 
00-00185499	Бомаг 	3BA-21-71393	Бомаг 	3BA-21-71393, ДИСК ТРАНСМИССИИ	3BA-21-71393, ДИСК ТРАНСМИССИИ	6,100	1;61887,78	RUR	НДС 20%	Москва	3BA-21-71393	Бомаг 
00-00185509	Бомаг 	6745-61-1111	Бомаг 	6745-61-1111 ТЕРМОСТАТ	6745-61-1111 ТЕРМОСТАТ	0,365	1;9013,58	RUR	НДС 20%	Москва	6745-61-1111	Бомаг 
00-00185514	Бомаг 	96906340	Бомаг 	96906340 ВТУЛКА	96906340 ВТУЛКА	3,000	2;104603,99	RUR	НДС 20%	Москва	96906340	Бомаг 
00-00185533	Бомаг 	775-HL-400PS	Бомаг 	775-HL-400PS ПАЛЕЦ РС400  ХЕНСЛИ	775-HL-400PS ПАЛЕЦ РС400  ХЕНСЛИ	0,681	47;956,05	RUR	НДС 20%	Москва	775-HL-400PS	Бомаг 
00-00185534	Бомаг 	6754-79-6150	Бомаг 	6754-79-6150 ФИЛЬТР	6754-79-6150 ФИЛЬТР	0,800	2;5822,79	RUR	НДС 20%	Москва	6754-79-6150	Бомаг 
00-00185579	Бомаг 	707-52-15430	Бомаг 	707-52-15430 ПОДШИПНИК СКОЛЬЖЕНИЯ	707-52-15430 ПОДШИПНИК СКОЛЬЖЕНИЯ	0,130	7;4352,58	RUR	НДС 20%	Москва	707-52-15430	Бомаг 
00-00185592	Бомаг 	6240-61-2111	Бомаг 	6240-61-2111 ФИЛЬТР	6240-61-2111 ФИЛЬТР	4,920	2;68123,59	RUR	НДС 20%	Москва	6240-61-2111	Бомаг 
00-00185598	Бомаг 	775-HL-400AC	Бомаг 	775-HL-400AC АДАПТЕР РС400  ХЕНСЛИ	775-HL-400AC АДАПТЕР РС400  ХЕНСЛИ	37,954	7;24080,28	RUR	НДС 20%	Москва	775-HL-400AC	Бомаг 
00-00185601	Бомаг 	14X-49-61410	Бомаг 	14X-49-61410 ФИЛЬТР	14X-49-61410 ФИЛЬТР	1,950	64;13042,20	RUR	НДС 20%	Москва	14X-49-61410	Бомаг 
00-00185606	Бомаг 	42N-63-11760	Бомаг 	42N-63-11760 ШЛАНГ	42N-63-11760 ШЛАНГ	0,100	1;10563,57	RUR	НДС 20%	Москва	42N-63-11760	Бомаг 
00-00185628	Бомаг 	14X-62-21311	Бомаг 	14X-62-21311 ШЛАНГ В СБОРЕ	14X-62-21311 ШЛАНГ В СБОРЕ	0,740	2;7805,64	RUR	НДС 20%	Москва	14X-62-21311	Бомаг 
00-00185630	Бомаг 	234-A06-2130	Бомаг 	234-A06-2130 ЭЛЕКТРОПРОВОДКА	234-A06-2130 ЭЛЕКТРОПРОВОДКА	0,700	1;73755,39	RUR	НДС 20%	Москва	234-A06-2130	Бомаг 
00-00185633	Бомаг 	6219-29-4240	Бомаг 	6219-29-4240 УПЛОТНЕНИЕ	6219-29-4240 УПЛОТНЕНИЕ	0,520	1;69257,80	RUR	НДС 20%	Москва	6219-29-4240	Бомаг 
00-00185636	Бомаг 	775-HL-200TS	Бомаг 	775-HL-200TS ЗУБ КОВША	775-HL-200TS ЗУБ КОВША	4,495	58;3156,65	RUR	НДС 20%	Москва	775-HL-200TS	Бомаг 
00-00185640	Бомаг 	EA5801483583	Бомаг 	EA5801483583 УПЛОТНИТЕЛЬНОЕ КОЛЬЦО	EA5801483583 УПЛОТНИТЕЛЬНОЕ КОЛЬЦО	0,220	3;5639,55	RUR	НДС 20%	Москва	EA5801483583	Бомаг 
00-00185646	Бомаг 	51064698	Бомаг 	51064698 O-КОЛЬЦО	51064698 O-КОЛЬЦО	0,015	1;1788,46	RUR	НДС 20%	Москва	51064698	Бомаг 
00-00185660	Бомаг 	42N-06-14810	Бомаг 	42N-06-14810 РЕЗИСТОР	42N-06-14810 РЕЗИСТОР	0,030	17;13728,41	RUR	НДС 20%	Москва	42N-06-14810	Бомаг 
00-00185662	Бомаг 	6741-61-1611	Бомаг 	6741-61-1611 ТЕРМОСТАТ БИМЕТАЛЛИЧЕСКИЙ СИСТЕМЫ ОХЛАЖДЕНИЯ ДВС	6741-61-1611 ТЕРМОСТАТ БИМЕТАЛЛИЧЕСКИЙ СИСТЕМЫ ОХЛАЖДЕНИЯ ДВС	12,250	13;7488,70	RUR	НДС 20%	Москва	6741-61-1611	Бомаг 
00-00185668	Бомаг 	SFA125J6	Бомаг 	SFA125J6 БОЛТ	SFA125J6 БОЛТ	3,632	3;33661,16	RUR	НДС 20%	Москва	SFA125J6	Бомаг 
