Код товара;Компания;Артикул производителя;Производитель;Наименование;Текстовое описание;Вес;Длина;Ширина;Высота;Количество на складе;Цена на складе;Список аналогов;Список брендов
ЦУ-00000057;Test vendor;707-88-60310;Продуктовая база;Лимонад;;;;10;10;1400;68,04;707-88-60311, 707-88-60312;LADA, MITSUBISHI
ЦУ-00000061;Test vendor;707-88-60310;;"Кофе-машина ""Универсал""";;4;;10;10;21000;16529,1;707-88-60311, 707-88-60312;LADA, MITSUBISHI
ЦУ-00000065;Test vendor;707-88-60310;Завод бытовой техники;Вентилятор настольный, Модель 902;;1,2;;10;10;15000;3477,6;707-88-60311, 707-88-60312;LADA, MITSUBISHI
ЦУ-00000066;Test vendor;707-88-60310;Завод бытовой техники;Вентилятор оконный, модель 902;;1,2;;10;10;15000;3628,8;707-88-60311, 707-88-60312;LADA, MITSUBISHI
18;Test vendor;707-88-60310;Фабрика обуви;Женские ботфорты;;0,5;;10;10;180000;10088,4;707-88-60311, 707-88-60312;LADA, MITSUBISHI
23;Test vendor;707-88-60310;Фабрика обуви;Ботинки женские демисезонные;;0,5;;10;10;134;10290;707-88-60311, 707-88-60312;LADA, MITSUBISHI
22;Test vendor;707-88-60310;Фабрика обуви;Ботинки женские натуральная кожа;;0,5;;10;10;59;11289,6;707-88-60311, 707-88-60312;LADA, MITSUBISHI
57;Test vendor;707-88-60310;Завод бытовой техники;Комбайн кухонный BINATONE FP 67;;3;;10;10;26;8505;707-88-60311, 707-88-60312;LADA, MITSUBISHI
102;Test vendor;707-88-60310;Завод бытовой техники;Кофеварка BRAUN KF22R;;3;;10;10;34;10544,1;707-88-60311, 707-88-60312;LADA, MITSUBISHI
103;Test vendor;707-88-60310;Завод бытовой техники;Кофеварка JACOBS (Австрия);;3;;10;10;28;11174,1;707-88-60311, 707-88-60312;LADA, MITSUBISHI
78;Test vendor;707-88-60310;Завод бытовой техники;Миксер BINATONE HM 212,6 скор. 150вт;;2;;10;10;39;8820;707-88-60311, 707-88-60312;LADA, MITSUBISHI
83;Test vendor;707-88-60310;Завод бытовой техники;Х-1234 BOSCH Завод бытовой техники;;5;;10;10;36;22482,6;707-88-60311, 707-88-60312;LADA, MITSUBISHI
140;Test vendor;707-88-60310;Продуктовая база;Крупа гречневая (весовая);;1;;10;10;95;54,39;707-88-60311, 707-88-60312;LADA, MITSUBISHI
70;Test vendor;707-88-60310;Холодильный комбинат;Х-78668 Атлант Холодильный комбинат;;5;;10;10;4;6700;707-88-60311, 707-88-60312;LADA, MITSUBISHI
79;Test vendor;707-88-60310;Завод бытовой техники;Х-67890 Стинол Завод бытовой техники;;5,5;;10;10;7;6700;707-88-60311, 707-88-60312;LADA, MITSUBISHI
64;Test vendor;707-88-60310;Завод бытовой техники;Вентилятор BINATONE ALPINE 160вт, напольный, оконный;;1;;10;10;16;1814,4;707-88-60311, 707-88-60312;LADA, MITSUBISHI
99;Test vendor;707-88-60310;Завод бытовой техники;Вентилятор JIPONIC (Тайв.), напольный;;1;;10;10;15;2116,8;707-88-60311, 707-88-60312;LADA, MITSUBISHI
109;Test vendor;707-88-60310;Завод бытовой техники;Вентилятор настольный;;1;;10;10;26;1058,4;707-88-60311, 707-88-60312;LADA, MITSUBISHI
8;Test vendor;707-88-60310;Продуктовая база;Барбарис (конфеты);;1;;10;10;69;38,5;707-88-60311, 707-88-60312;LADA, MITSUBISHI
42;Test vendor;707-88-60310;База продуктов;Принц (печенье);;;;10;10;73;29,7;707-88-60311, 707-88-60312;LADA, MITSUBISHI
47;Test vendor;707-88-60310;Продуктовая база;Ассорти (конфеты);;;;10;10;67;106,05;707-88-60311, 707-88-60312;LADA, MITSUBISHI
89;Test vendor;707-88-60310;База продуктов;Сердечко (печенье);;;;10;10;13;83,16;707-88-60311, 707-88-60312;LADA, MITSUBISHI
96;Test vendor;707-88-60310;База продуктов;Фруктовые (вафли);;;;10;10;94;84,63;707-88-60311, 707-88-60312;LADA, MITSUBISHI
6;Test vendor;707-88-60310;Продуктовая база;Белочка (конфеты);;1;;10;10;70;51,45;707-88-60311, 707-88-60312;LADA, MITSUBISHI
5;Test vendor;707-88-60310;Продуктовая база;Грильяж (конфеты);;1;;10;10;68;60,95;707-88-60311, 707-88-60312;LADA, MITSUBISHI
7;Test vendor;707-88-60310;Продуктовая база;Мишка (конфеты);;1;;10;10;70;53,9;707-88-60311, 707-88-60312;LADA, MITSUBISHI
45;Test vendor;707-88-60310;Завод бытовой техники;Комбайн MOULINEX  A77 4C;;3;;10;10;26;3307,5;707-88-60311, 707-88-60312;LADA, MITSUBISHI
97;Test vendor;707-88-60310;Завод бытовой техники;Миксер SOLAC мод.545;;2;;10;10;36;8977,5;707-88-60311, 707-88-60312;LADA, MITSUBISHI
105;Test vendor;707-88-60310;Комбинат быта;Мясорубка ЭКМ-3;;3;;10;10;13;1732,5;707-88-60311, 707-88-60312;LADA, MITSUBISHI
66;Test vendor;707-88-60310;Завод бытовой техники;Вентилятор оконный;;1,2;;10;10;16;1043,7;707-88-60311, 707-88-60312;LADA, MITSUBISHI
30;Test vendor;707-88-60310;Фабрика обуви;"Кроссовки ""REEBOK""";;0,6;;10;10;28;11174,1;707-88-60311, 707-88-60312;LADA, MITSUBISHI
72;Test vendor;707-88-60310;Завод бытовой техники;Вентилятор ОРБИТА,STERLING,ЯП.;;1,2;;10;10;16;1360,8;707-88-60311, 707-88-60312;LADA, MITSUBISHI
82;Test vendor;707-88-60310;Комбинат быта;"Телевизор ""JVC""";;5;;10;10;58;12276,6;707-88-60311, 707-88-60312;LADA, MITSUBISHI
54;Test vendor;707-88-60310;Завод бытовой техники;Кондиционер ELEKTA;;2;;10;10;488;7087,5;707-88-60311, 707-88-60312;LADA, MITSUBISHI
76;Test vendor;707-88-60310;Завод бытовой техники;Кондиционер FIRMSTAR 12М;;2;;10;10;437;8363,25;707-88-60311, 707-88-60312;LADA, MITSUBISHI
92;Test vendor;707-88-60310;Завод бытовой техники;Кондиционер БК-2300;;2;;10;10;586;10407,6;707-88-60311, 707-88-60312;LADA, MITSUBISHI
104;Test vendor;707-88-60310;Завод бытовой техники;"Пылесос ""Омега"" 1250вт";;2;;10;10;14;4410;707-88-60311, 707-88-60312;LADA, MITSUBISHI
107;Test vendor;707-88-60310;Завод бытовой техники;"Пылесос ""Электросила""";;3;;10;10;16;4725;707-88-60311, 707-88-60312;LADA, MITSUBISHI
73;Test vendor;707-88-60310;Завод бытовой техники;"Пылесос ""Энергия-SANYO""";;3;;10;10;16;5791,8;707-88-60311, 707-88-60312;LADA, MITSUBISHI
27;Test vendor;707-88-60310;Фабрика обуви;"Кроссовки ""ADIDAS""";;0,5;;10;10;62;8363,25;707-88-60311, 707-88-60312;LADA, MITSUBISHI
9;Test vendor;707-88-60310;База продуктов;Фруктовые (конфеты);;1;;10;10;104;84,63;707-88-60311, 707-88-60312;LADA, MITSUBISHI
11;Test vendor;707-88-60310;Продуктовая база;"Крупа ""Геркулес""";;1;;10;10;99;61,95;707-88-60311, 707-88-60312;LADA, MITSUBISHI
71;Test vendor;707-88-60310;Продуктовая база;Масло деревенское;;;;10;10;80;219,45;707-88-60311, 707-88-60312;LADA, MITSUBISHI
40;Test vendor;707-88-60310;База продуктов;Сахарный песок в пачках;;;;10;10;98;106,05;707-88-60311, 707-88-60312;LADA, MITSUBISHI
41;Test vendor;707-88-60310;База продуктов;Юбилейное (печенье);;;;10;10;105;68,04;707-88-60311, 707-88-60312;LADA, MITSUBISHI
46;Test vendor;707-88-60310;Продуктовая база;Крупа манная;;;;10;10;110;51,45;707-88-60311, 707-88-60312;LADA, MITSUBISHI
48;Test vendor;707-88-60310;Продуктовая база;Крупа гречневая (упак);;;;10;10;100;53,9;707-88-60311, 707-88-60312;LADA, MITSUBISHI
60;Test vendor;707-88-60310;База продуктов;"Молоко ""Останкинское"" 1.5%";;;;10;10;77;90,72;707-88-60311, 707-88-60312;LADA, MITSUBISHI
61;Test vendor;707-88-60310;База продуктов;"Молоко ""Домик в деревне"" 1.5%";;;;10;10;81;90,72;707-88-60311, 707-88-60312;LADA, MITSUBISHI
62;Test vendor;707-88-60310;База продуктов;"Молоко ""Домик в деревне"" 3.2%";;;;10;10;79;90,72;707-88-60311, 707-88-60312;LADA, MITSUBISHI
65;Test vendor;707-88-60310;База продуктов;"Молоко ""Домик в деревне"" 4.5%";;;;10;10;80;88,47;707-88-60311, 707-88-60312;LADA, MITSUBISHI
67;Test vendor;707-88-60310;База продуктов;"Молоко ""Останкинское"" 3.2%";;;;10;10;80;196,35;707-88-60311, 707-88-60312;LADA, MITSUBISHI
84;Test vendor;707-88-60310;Комбинат быта;Чайник BINATONE  EWK-3000,  2л;;1;;10;10;23;1543,5;707-88-60311, 707-88-60312;LADA, MITSUBISHI
86;Test vendor;707-88-60310;Комбинат быта;Чайник BINATONE  AEJ-1001,  2,2л;;1;;10;10;34;1543,5;707-88-60311, 707-88-60312;LADA, MITSUBISHI
87;Test vendor;707-88-60310;Продуктовая база;"Масло ""Кремлевское""";;;;10;10;80;219,45;707-88-60311, 707-88-60312;LADA, MITSUBISHI
88;Test vendor;707-88-60310;Завод бытовой техники;Мясорубка MOULINEX  A 15;;2;;10;10;28;10544,1;707-88-60311, 707-88-60312;LADA, MITSUBISHI
90;Test vendor;707-88-60310;Комбинат быта;Соковыжималка  BINATONE JE 102;;3;;10;10;36;8505;707-88-60311, 707-88-60312;LADA, MITSUBISHI
91;Test vendor;707-88-60310;Комбинат быта;Чайник MOULINEX L 1,3;;1;;10;10;26;1543,5;707-88-60311, 707-88-60312;LADA, MITSUBISHI
95;Test vendor;707-88-60310;Продуктовая база;Масло вологодское;;;;10;10;75;181,65;707-88-60311, 707-88-60312;LADA, MITSUBISHI
100;Test vendor;707-88-60310;Комбинат быта;"Телевизор ""SHARP""";;5;;10;10;45;17631,6;707-88-60311, 707-88-60312;LADA, MITSUBISHI
106;Test vendor;707-88-60310;Комбинат быта;Соковыжималка  SOLAC  Мод.541;;4;;10;10;37;10544,1;707-88-60311, 707-88-60312;LADA, MITSUBISHI
ЦУ-00000031;Test vendor;707-88-60310;Севкабель;Кабель NYM (Севкабель) 1х4;;0,082;1;10;10;880;315;707-88-60311, 707-88-60312;LADA, MITSUBISHI
108;Test vendor;707-88-60310;Комбинат быта;"Соковыжималка ""МАПО""";;4;;10;10;36;8820;707-88-60311, 707-88-60312;LADA, MITSUBISHI
ЦУ-00000026;Test vendor;707-88-60310;Мебельный комбинат;Тумбочка прикроватная;;;;10;10;3;1890;707-88-60311, 707-88-60312;LADA, MITSUBISHI
ЦУ-00000025;Test vendor;707-88-60310;Мебельный комбинат;Шкаф 3-дверный;;;;10;10;4;6300;707-88-60311, 707-88-60312;LADA, MITSUBISHI
148;Test vendor;707-88-60310;Мебельный комбинат;Корпус кровати;;;;10;10;9;4725;707-88-60311, 707-88-60312;LADA, MITSUBISHI
127;Test vendor;707-88-60310;Мебельный комбинат;Стол обеденный;;;;10;10;8;8032,5;707-88-60311, 707-88-60312;LADA, MITSUBISHI
128;Test vendor;707-88-60310;Мебельный комбинат;Стулья;;;;10;10;22;3622,5;707-88-60311, 707-88-60312;LADA, MITSUBISHI
ЦУ-00000032;Test vendor;707-88-60310;Севкабель;Кабель NYM (Севкабель) 1х6;;0,105;1;10;10;820;315;707-88-60311, 707-88-60312;LADA, MITSUBISHI
ЦУ-00000033;Test vendor;707-88-60310;Севкабель;Кабель NYM (Севкабель) 3х1,5;кабель очень хороший;0,108;1;10;10;420;315;707-88-60311, 707-88-60312;LADA, MITSUBISHI
ЦУ-00000034;Test vendor;707-88-60310;Севкабель;Кабель NYM (Севкабель) 5х35;;2,447;1;10;10;1600;472,5;707-88-60311, 707-88-60312;LADA, MITSUBISHI
