Product code,Language,Vendor,Max quantity,Quantity step,List qty count,Out of stock actions,Promo text,Product URL,Image URL,Detailed image URL,Items in box,Box size,Usergroup IDs,Available since,Options type,Exceptions type,Variation group code,Variation group id,Variation parent product id,Variation sub group id,Variation set as default,Discussion,Product id,Category,List price,Price,Weight,Quantity,Min quantity,Shipping freight,Date added,Downloadable,Files,Ship downloadable,Inventory tracking,Free shipping,Zero price action,Thumbnail,Detailed image,Product name,Description,Meta keywords,Meta description,Search words,Page title,Taxes,Features,Options,Secondary categories,SEO name,Short description,Status,Popularity
"01010-61435","ru","КОМЕК МАШИНЕРИ","0","0","0","N","","https://service.parts/komatsu/01010-61435-ankr/","https://service.parts/images/thumbnails/280/147/detailed/2/%D0%91%D0%9E%D0%9B%D0%A2.png","https://service.parts/images/detailed/2/БОЛТ.png","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","3992","Komatsu","0.00","182.87","0.067","7","0","0.00","24 Sep 2019 12:35:37","N","","N","B","N","R","","exim/backup/images/БОЛТ.png#{[da]:;[de]:;[el]:;[en]:;[es]:;[fr]:;[it]:;[nl]:;[no]:;[ro]:;[ru]:;}","01010-61435 БОЛТ,","01010-61435 БОЛТ,","","","","","НДС 20%","(Основные характеристики) Бренд: S[KOMATSU]; (Основные характеристики) Страна производитель: S[Komatsu Ltd.]; (Основные характеристики) Производитель: S[KOMATSU]; (Основные характеристики) Код производителя: T[01010-61435]; (Основные характеристики) Город: S[Москва]","","","01010-61435-ankr","","A","6057"
"01010-61490","ru","КОМЕК МАШИНЕРИ","0","0","0","N","","https://service.parts/komatsu/01010-61490-ankr-ya-eyarhcpyummni-cnknbyni/","https://service.parts/images/thumbnails/280/147/detailed/2/%D0%91%D0%9E%D0%9B%D0%A2_ogkj-bp.png","https://service.parts/images/detailed/2/БОЛТ_ogkj-bp.png","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","3993","Komatsu","0.00","131.37","0.132","16","0","0.00","24 Sep 2019 12:35:37","N","","N","B","N","R","","exim/backup/images/БОЛТ_ogkj-bp.png#{[da]:;[de]:;[el]:;[en]:;[es]:;[fr]:;[it]:;[nl]:;[no]:;[ro]:;[ru]:;}","01010-61490 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ,","01010-61490 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ,","","","","","НДС 20%","(Основные характеристики) Бренд: S[KOMATSU]; (Основные характеристики) Страна производитель: S[Komatsu Ltd.]; (Основные характеристики) Производитель: S[KOMATSU]; (Основные характеристики) Код производителя: T[01010-61490]; (Основные характеристики) Город: S[Москва]","","","01010-61490-ankr-ya-eyarhcpyummni-cnknbyni","","A","2007"
"01010-61640","ru","КОМЕК МАШИНЕРИ","0","0","0","N","","https://service.parts/komatsu/01010-61640-ankr/","https://service.parts/images/thumbnails/280/147/detailed/2/%D0%91%D0%9E%D0%9B%D0%A2_7exj-bk.png","https://service.parts/images/detailed/2/БОЛТ_7exj-bk.png","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","3994","Komatsu","0.00","234.50","0.096","16","0","0.00","24 Sep 2019 12:35:37","N","","N","B","N","R","","exim/backup/images/БОЛТ_7exj-bk.png#{[da]:;[de]:;[el]:;[en]:;[es]:;[fr]:;[it]:;[nl]:;[no]:;[ro]:;[ru]:;}","01010-61640 БОЛТ,","01010-61640 БОЛТ,","","","","","НДС 20%","(Основные характеристики) Бренд: S[KOMATSU]; (Основные характеристики) Страна производитель: S[Komatsu Ltd.]; (Основные характеристики) Производитель: S[KOMATSU]; (Основные характеристики) Код производителя: T[01010-61640]; (Основные характеристики) Город: S[Москва]","","","01010-61640-ankr","","A","715"
"01010-61645","ru","КОМЕК МАШИНЕРИ","0","0","0","N","","https://service.parts/komatsu/01010-61645-ankr/","https://service.parts/images/thumbnails/280/147/detailed/2/%D0%91%D0%9E%D0%9B%D0%A2_gd7g-em.png","https://service.parts/images/detailed/2/БОЛТ_gd7g-em.png","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","3995","Komatsu","0.00","234.50","0.280","58","0","0.00","24 Sep 2019 12:35:37","N","","N","B","N","R","","exim/backup/images/БОЛТ_gd7g-em.png#{[da]:;[de]:;[el]:;[en]:;[es]:;[fr]:;[it]:;[nl]:;[no]:;[ro]:;[ru]:;}","01010-61645 БОЛТ,","01010-61645 БОЛТ,","","","","","НДС 20%","(Основные характеристики) Бренд: S[KOMATSU]; (Основные характеристики) Страна производитель: S[Komatsu Ltd.]; (Основные характеристики) Производитель: S[KOMATSU]; (Основные характеристики) Код производителя: T[01010-61645]; (Основные характеристики) Город: S[Москва]","","","01010-61645-ankr","","A","1597"
"01010-61655","ru","КОМЕК МАШИНЕРИ","0","0","0","N","","https://service.parts/komatsu/01010-61655-ankr/","https://service.parts/images/thumbnails/280/147/detailed/2/%D0%91%D0%9E%D0%9B%D0%A2_afpk-zn.png","https://service.parts/images/detailed/2/БОЛТ_afpk-zn.png","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","3996","Komatsu","0.00","283.85","0.119","80","0","0.00","24 Sep 2019 12:35:37","N","","N","B","N","R","","exim/backup/images/БОЛТ_afpk-zn.png#{[da]:;[de]:;[el]:;[en]:;[es]:;[fr]:;[it]:;[nl]:;[no]:;[ro]:;[ru]:;}","01010-61655 БОЛТ,","01010-61655 БОЛТ,","","","","","НДС 20%","(Основные характеристики) Бренд: S[KOMATSU]; (Основные характеристики) Страна производитель: S[Komatsu Ltd.]; (Основные характеристики) Производитель: S[KOMATSU]; (Основные характеристики) Код производителя: T[01010-61655]; (Основные характеристики) Город: S[Москва]","","","01010-61655-ankr","","A","1009"
"01010-61660","ru","КОМЕК МАШИНЕРИ","0","0","0","N","","https://service.parts/komatsu/01010-61660-ankr-16ll/","https://service.parts/images/thumbnails/280/147/detailed/2/%D0%91%D0%9E%D0%9B%D0%A2_gpkw-l6.png","https://service.parts/images/detailed/2/БОЛТ_gpkw-l6.png","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","3997","Komatsu","0.00","112.90","0.127","16","0","0.00","24 Sep 2019 12:35:37","N","","N","B","N","R","","exim/backup/images/БОЛТ_gpkw-l6.png#{[da]:;[de]:;[el]:;[en]:;[es]:;[fr]:;[it]:;[nl]:;[no]:;[ro]:;[ru]:;}","01010-61660 БОЛТ 16ММ,","01010-61660 БОЛТ 16ММ,","","","","","НДС 20%","(Основные характеристики) Бренд: S[KOMATSU]; (Основные характеристики) Страна производитель: S[Komatsu Ltd.]; (Основные характеристики) Производитель: S[KOMATSU]; (Основные характеристики) Код производителя: T[01010-61660]; (Основные характеристики) Город: S[Москва]","","","01010-61660-ankr-16ll","","A","720"
"01010-61675","ru","КОМЕК МАШИНЕРИ","0","0","0","N","","https://service.parts/komatsu/01010-61675-ankr/","https://service.parts/images/thumbnails/280/147/detailed/2/%D0%91%D0%9E%D0%9B%D0%A2_oj83-uo.png","https://service.parts/images/detailed/2/БОЛТ_oj83-uo.png","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","3998","Komatsu","0.00","149.85","0.150","2","0","0.00","24 Sep 2019 12:35:37","N","","N","B","N","R","","exim/backup/images/БОЛТ_oj83-uo.png#{[da]:;[de]:;[el]:;[en]:;[es]:;[fr]:;[it]:;[nl]:;[no]:;[ro]:;[ru]:;}","01010-61675 БОЛТ,","01010-61675 БОЛТ,","","","","","НДС 20%","(Основные характеристики) Бренд: S[KOMATSU]; (Основные характеристики) Страна производитель: S[Komatsu Ltd.]; (Основные характеристики) Производитель: S[KOMATSU]; (Основные характеристики) Код производителя: T[01010-61675]; (Основные характеристики) Город: S[Москва]","","","01010-61675-ankr","","A","232"
"01010-61690","ru","КОМЕК МАШИНЕРИ","0","0","0","N","","https://service.parts/komatsu/01010-61690-ankr/","https://service.parts/images/thumbnails/280/147/detailed/2/%D0%91%D0%9E%D0%9B%D0%A2_7s9c-vz.png","https://service.parts/images/detailed/2/БОЛТ_7s9c-vz.png","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","3999","Komatsu","0.00","156.01","0.173","17","0","0.00","24 Sep 2019 12:35:37","N","","N","B","N","R","","exim/backup/images/БОЛТ_7s9c-vz.png#{[da]:;[de]:;[el]:;[en]:;[es]:;[fr]:;[it]:;[nl]:;[no]:;[ro]:;[ru]:;}","01010-61690 БОЛТ,","01010-61690 БОЛТ,","","","","","НДС 20%","(Основные характеристики) Бренд: S[KOMATSU]; (Основные характеристики) Страна производитель: S[Komatsu Ltd.]; (Основные характеристики) Производитель: S[KOMATSU]; (Основные характеристики) Код производителя: T[01010-61690]; (Основные характеристики) Город: S[Москва]","","","01010-61690-ankr","","A","329"
"01010-62040","ru","КОМЕК МАШИНЕРИ","0","0","0","N","","https://service.parts/komatsu/01010-62040-ankr/","https://service.parts/images/thumbnails/280/147/detailed/2/%D0%91%D0%9E%D0%9B%D0%A2_jysi-ge.png","https://service.parts/images/detailed/2/БОЛТ_jysi-ge.png","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","4000","Komatsu","0.00","125.21","0.166","3","0","0.00","24 Sep 2019 12:35:37","N","","N","B","N","R","","exim/backup/images/БОЛТ_jysi-ge.png#{[da]:;[de]:;[el]:;[en]:;[es]:;[fr]:;[it]:;[nl]:;[no]:;[ro]:;[ru]:;}","01010-62040 БОЛТ,","01010-62040 БОЛТ,","","","","","НДС 20%","(Основные характеристики) Бренд: S[KOMATSU]; (Основные характеристики) Страна производитель: S[Komatsu Ltd.]; (Основные характеристики) Производитель: S[KOMATSU]; (Основные характеристики) Код производителя: T[01010-62040]; (Основные характеристики) Город: S[Москва]","","","01010-62040-ankr","","A","314"
"01010-62060","ru","КОМЕК МАШИНЕРИ","0","0","0","N","","https://service.parts/komatsu/01010-62060-ankr-20ll/","https://service.parts/images/thumbnails/280/147/detailed/2/%D0%91%D0%9E%D0%9B%D0%A2_x57k-ix.png","https://service.parts/images/detailed/2/БОЛТ_x57k-ix.png","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","4001","Komatsu","0.00","543.02","0.214","4","0","0.00","24 Sep 2019 12:35:37","N","","N","B","N","R","","exim/backup/images/БОЛТ_x57k-ix.png#{[da]:;[de]:;[el]:;[en]:;[es]:;[fr]:;[it]:;[nl]:;[no]:;[ro]:;[ru]:;}","01010-62060 БОЛТ 20ММ,","01010-62060 БОЛТ 20ММ,","","","","","НДС 20%","(Основные характеристики) Бренд: S[KOMATSU]; (Основные характеристики) Страна производитель: S[Komatsu Ltd.]; (Основные характеристики) Производитель: S[KOMATSU]; (Основные характеристики) Код производителя: T[01010-62060]; (Основные характеристики) Город: S[Москва]","","","01010-62060-ankr-20ll","","A","264"
