Product code,Language,Vendor,Max quantity,Quantity step,List qty count,Out of stock actions,Promo text,Product URL,Image URL,Detailed image URL,Items in box,Box size,Usergroup IDs,Available since,Options type,Exceptions type,Variation group code,Variation group id,Variation parent product id,Variation sub group id,Variation set as default,Discussion,Product id,Category,List price,Price,Weight,Quantity,Min quantity,Shipping freight,Date added,Downloadable,Files,Ship downloadable,Inventory tracking,Free shipping,Zero price action,Thumbnail,Detailed image,Product name,Description,Meta keywords,Meta description,Search words,Page title,Taxes,Features,Options,Secondary categories,SEO name,Short description,Status,Popularity
"01010-61435","ru","КОМЕК МАШИНЕРИ","0","0","0","N","","https://service.parts/vse/komatsu/01010-61435-ankr/","https://service.parts/images/thumbnails/280/147/detailed/2/%D0%91%D0%9E%D0%9B%D0%A2.png","https://service.parts/images/detailed/2/БОЛТ.png","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","3992","Все///Komatsu","0.00","167.39","0.000","89","0","0.00","24 Sep 2019 12:35:37","N","","N","B","N","R","","exim/backup/images/БОЛТ.png#{[da]:;[de]:;[el]:;[en]:;[es]:;[fr]:;[it]:;[nl]:;[no]:;[ro]:;[ru]:;}","БОЛТ","<p>01010-61435 БОЛТ,</p>","","","","","VAT","(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]; (Основные характеристики) Город: S[Москва]","","","01010-61435-ankr","","A","3374"
"01010-61490","ru","КОМЕК МАШИНЕРИ","0","0","0","N","","https://service.parts/vse/komatsu/01010-61490-ankr-ya-eyarhcpyummni-cnknbyni/","https://service.parts/images/thumbnails/280/147/detailed/2/%D0%91%D0%9E%D0%9B%D0%A2_ogkj-bp.png","https://service.parts/images/detailed/2/БОЛТ_ogkj-bp.png","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","3993","Все///Komatsu","0.00","117.68","0.000","1","0","0.00","24 Sep 2019 12:35:37","N","","N","B","N","R","","exim/backup/images/БОЛТ_ogkj-bp.png#{[da]:;[de]:;[el]:;[en]:;[es]:;[fr]:;[it]:;[nl]:;[no]:;[ro]:;[ru]:;}","БОЛТ","<p>01010-61490 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ</p><p><br /></p>","","","","","VAT","(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]; (Основные характеристики) Город: S[Москва]","","","01010-61490-ankr-ya-eyarhcpyummni-cnknbyni","","A","1623"
"01010-61640","ru","КОМЕК МАШИНЕРИ","0","0","0","N","","https://service.parts/vse/komatsu/01010-61640-ankr/","https://service.parts/images/thumbnails/280/147/detailed/2/%D0%91%D0%9E%D0%9B%D0%A2_7exj-bk.png","https://service.parts/images/detailed/2/БОЛТ_7exj-bk.png","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","3994","Все///Komatsu","0.00","214.62","0.000","0","0","0.00","24 Sep 2019 12:35:37","N","","N","B","N","R","","exim/backup/images/БОЛТ_7exj-bk.png#{[da]:;[de]:;[el]:;[en]:;[es]:;[fr]:;[it]:;[nl]:;[no]:;[ro]:;[ru]:;}","БОЛТ","<p>01010-61640 БОЛТ,</p>","","","","","VAT","(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]; (Основные характеристики) Город: S[Москва]","","","01010-61640-ankr","","A","589"
"01010-61645","ru","КОМЕК МАШИНЕРИ","0","0","0","N","","https://service.parts/vse/komatsu/01010-61645-ankr/","https://service.parts/images/thumbnails/280/147/detailed/2/%D0%91%D0%9E%D0%9B%D0%A2_gd7g-em.png","https://service.parts/images/detailed/2/БОЛТ_gd7g-em.png","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","3995","Все///Komatsu","0.00","214.62","0.000","58","0","0.00","24 Sep 2019 12:35:37","N","","N","B","N","R","","exim/backup/images/БОЛТ_gd7g-em.png#{[da]:;[de]:;[el]:;[en]:;[es]:;[fr]:;[it]:;[nl]:;[no]:;[ro]:;[ru]:;}","БОЛТ","01010-61645 БОЛТ, ","","","","","VAT","(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]; (Основные характеристики) Город: S[Москва]","","","01010-61645-ankr","","A","1354"
"01010-61655","ru","КОМЕК МАШИНЕРИ","0","0","0","N","","https://service.parts/vse/komatsu/01010-61655-ankr/","https://service.parts/images/thumbnails/280/147/detailed/2/%D0%91%D0%9E%D0%9B%D0%A2_afpk-zn.png","https://service.parts/images/detailed/2/БОЛТ_afpk-zn.png","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","3996","Все///Komatsu","0.00","259.81","0.000","75","0","0.00","24 Sep 2019 12:35:37","N","","N","B","N","R","","exim/backup/images/БОЛТ_afpk-zn.png#{[da]:;[de]:;[el]:;[en]:;[es]:;[fr]:;[it]:;[nl]:;[no]:;[ro]:;[ru]:;}","БОЛТ","01010-61655 БОЛТ, ","","","","","VAT","(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]; (Основные характеристики) Город: S[Москва]","","","01010-61655-ankr","","A","757"
"01010-61660","ru","КОМЕК МАШИНЕРИ","0","0","0","N","","https://service.parts/vse/komatsu/01010-61660-ankr-16ll/","https://service.parts/images/thumbnails/280/147/detailed/2/%D0%91%D0%9E%D0%9B%D0%A2_gpkw-l6.png","https://service.parts/images/detailed/2/БОЛТ_gpkw-l6.png","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","3997","Все///Komatsu","0.00","102.51","0.000","15","0","0.00","24 Sep 2019 12:35:37","N","","N","B","N","R","","exim/backup/images/БОЛТ_gpkw-l6.png#{[da]:;[de]:;[el]:;[en]:;[es]:;[fr]:;[it]:;[nl]:;[no]:;[ro]:;[ru]:;}","БОЛТ","01010-61660 БОЛТ 16ММ, ","","","","","VAT","(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]; (Основные характеристики) Город: S[Москва]","","","01010-61660-ankr-16ll","","A","597"
"01010-61675","ru","КОМЕК МАШИНЕРИ","0","0","0","N","","https://service.parts/vse/komatsu/01010-61675-ankr/","https://service.parts/images/thumbnails/280/147/detailed/2/%D0%91%D0%9E%D0%9B%D0%A2_oj83-uo.png","https://service.parts/images/detailed/2/БОЛТ_oj83-uo.png","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","3998","Все///Komatsu","0.00","132.87","0.000","2","0","0.00","24 Sep 2019 12:35:37","N","","N","B","N","R","","exim/backup/images/БОЛТ_oj83-uo.png#{[da]:;[de]:;[el]:;[en]:;[es]:;[fr]:;[it]:;[nl]:;[no]:;[ro]:;[ru]:;}","БОЛТ","01010-61675 БОЛТ, ","","","","","VAT","(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]; (Основные характеристики) Город: S[Москва]","","","01010-61675-ankr","","A","136"
"01010-61690","ru","КОМЕК МАШИНЕРИ","0","0","0","N","","https://service.parts/vse/komatsu/01010-61690-ankr/","https://service.parts/images/thumbnails/280/147/detailed/2/%D0%91%D0%9E%D0%9B%D0%A2_7s9c-vz.png","https://service.parts/images/detailed/2/БОЛТ_7s9c-vz.png","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","3999","Все///Komatsu","0.00","140.45","0.000","13","0","0.00","24 Sep 2019 12:35:37","N","","N","B","N","R","","exim/backup/images/БОЛТ_7s9c-vz.png#{[da]:;[de]:;[el]:;[en]:;[es]:;[fr]:;[it]:;[nl]:;[no]:;[ro]:;[ru]:;}","БОЛТ","01010-61690 БОЛТ, ","","","","","VAT","(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]; (Основные характеристики) Город: S[Москва]","","","01010-61690-ankr","","A","230"
"01010-62040","ru","КОМЕК МАШИНЕРИ","0","0","0","N","","https://service.parts/vse/komatsu/01010-62040-ankr/","https://service.parts/images/thumbnails/280/147/detailed/2/%D0%91%D0%9E%D0%9B%D0%A2_jysi-ge.png","https://service.parts/images/detailed/2/БОЛТ_jysi-ge.png","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","4000","Все///Komatsu","0.00","113.89","0.000","19","0","0.00","24 Sep 2019 12:35:37","N","","N","B","N","R","","exim/backup/images/БОЛТ_jysi-ge.png#{[da]:;[de]:;[el]:;[en]:;[es]:;[fr]:;[it]:;[nl]:;[no]:;[ro]:;[ru]:;}","БОЛТ","01010-62040 БОЛТ, ","","","","","VAT","(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]; (Основные характеристики) Город: S[Москва]","","","01010-62040-ankr","","A","194"
"01010-62060","ru","КОМЕК МАШИНЕРИ","0","0","0","N","","https://service.parts/vse/komatsu/01010-62060-ankr-20ll/","https://service.parts/images/thumbnails/280/147/detailed/2/%D0%91%D0%9E%D0%9B%D0%A2_x57k-ix.png","https://service.parts/images/detailed/2/БОЛТ_x57k-ix.png","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","4001","Все///Komatsu","0.00","497.03","0.000","53","0","0.00","24 Sep 2019 12:35:37","N","","N","B","N","R","","exim/backup/images/БОЛТ_x57k-ix.png#{[da]:;[de]:;[el]:;[en]:;[es]:;[fr]:;[it]:;[nl]:;[no]:;[ro]:;[ru]:;}","БОЛТ","01010-62060 БОЛТ 20ММ, ","","","","","VAT","(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]; (Основные характеристики) Город: S[Москва]","","","01010-62060-ankr-20ll","","A","132"
