Product code;Language;Vendor;Product id;Category;Price;Weight;Quantity;Zero price action;Thumbnail;Detailed image;Product name;Description;Search words;Page title;Taxes;Short description;Status;Image URL;Detailed image URL
"D00014MK1P";"ru";"Всё для дома";"1";"Электроника///Телевизоры и Видео///LED телевизоры";"188999.65";"0.000";"10";"R";"";"exim/backup/images/d85_smartTV.jpg#{[da]:;[de]:;[el]:;[en]:;[es]:;[fr]:;[it]:;[nl]:;[no]:;[ro]:;[ru]:;}";"LED телевизор 8000 серии UE55ES8007U";"<p><span style=""font-size: small;"">Slim LED телевизор Samsung ES8000 - это окно в мир будущего телевидения у вас дома. Уже сегодня вы можете оценить, как телевизоры серии Smart TV управляются с помощью голоса, жестов, узнают пользователя по его фотоснимку; кроме того, вы сможете познакомиться с такими интеллектуальными функциями Функция Smart Content, как Family Story и AllShare, которая позволяет обеспечить возможность просмотра контента на телевизоре с любого мобильного устройства (смартфона, ноутбука и планшета). С помощью функции Функция Smart Evolution вы легко сможете установить программный пакет Samsung Evolution Kit, с помощью которого ваш телевизор, его прошивка , встроенное ПО и интерфейс будут раз в году обновляться и всегда оставаться актуальными. Ваш телевизор будет всегда соответствовать новейшему уровню технологического развития, пополняться новыми функциями и режимами вам не нужно будет каждый год приобретать новую модель.</span></p>";"";"";"VAT";"";"A";"https://service.parts/images/thumbnails/280/280/detailed/0/d85_smartTV.jpg";"https://service.parts/images/detailed/0/d85_smartTV.jpg"
"E0004UBR1Y";"ru";"Всё для дома";"4";"Электроника///Телевизоры и Видео///LED телевизоры";"27999.60";"0.000";"1";"R";"";"exim/backup/images/UN40D5003BFXZA.jpg#{[da]:;[de]:;[el]:;[en]:;[es]:;[fr]:;[it]:;[nl]:;[no]:;[ro]:;[ru]:;}";"LED телевизор 5003 серии UE-40D5003 40""";"<p><span style=""font-size: small;"">LED-телевизор SAMSUNG UE-40D5003 с диагональю 40 дюймов. Разрешение 1920 x 1080. Формат 16 х 9. Подключение HDMI, USB, Ethernet и пр. Акустическая система 2 х 10 Вт. Технологии Wide Color Enhancer Plus, Ultra Clear Panel, Clear Motion Rate 100 Гц и др. Встроенный ТВ-тюнер DVB-T/C. Цвет корпуса - черный.</span></p><p><span style=""font-size: small;"">SAMSUNG UE-40D5003 &mdash; идеальный вариант для тех, кто ищет стильный и одновременно практичный телевизор премиум-класса. За высочайшее качество изображения в формате Full HD отвечают технологии Clear Motion Rate 100 Гц, HyperReal Engine и Wide Color Enhancer Plus. Кроме того, модели этой серии поддерживают функции AllShare, Anynet и ConnectShare Movie, оснащены HDMI-интерфейсом и системой объемного звука SRS Theater Sound &mdash; все для максимального комфорта.</span></p><p><span style=""font-size: small;"">Убедитесь сами, сколь плавным может быть движение с технологией Samsung Clear Motion Rate. Ведь плавность движения зависит не только от частоты кадров, но также от панели, процессора и метода подсветки. Clear Motion Rate знает об этом. Это новый стандарт в передаче движения.</span></p><p><span style=""font-size: small;"">Технология Samsung Wide Color Enhancer Plus использует разработанный специалистами Samsung алгоритм обработки цвета, благодаря которому качество изображения существенно улучшается. При этом становятся различимыми даже такие цветовые оттенки, которые на обычных телевизорах просто не воспроизводятся.</span></p><p><span style=""font-size: small;"">Функция ConnectShare Movie превратит ваш телевизор SAMSUNG UE-40D5003 в домашний кинотеатр. Достаточно вставить в USB-порт флэш-карточку, флэш-накопитель или внешний жесткий диск, чтобы просмотреть на экране фотоснимки или послушать музыку.</span></p>";"";"";"VAT";"";"A";"https://service.parts/images/thumbnails/280/280/detailed/0/UN40D5003BFXZA.jpg";"https://service.parts/images/detailed/0/UN40D5003BFXZA.jpg"
"B0005QJH6U";"ru";"Всё для дома";"5";"Электроника///Телевизоры и Видео///Плазменные телевизоры";"31499.65";"0.000";"9";"R";"";"exim/backup/images/LCD_610_Sailing_Frt_3.jpg#{[da]:;[de]:;[el]:;[en]:;[es]:;[fr]:;[it]:;[nl]:;[no]:;[ro]:;[ru]:;}";"LCD телевизор Samsung 610 серии 46""";"<p><span style=""font-size: small;"">Функция ConnectShare&trade; Movie позволяет просматривать видео, слушать музыку и просматривать фотографии непосредственно с флэш-накопителя. Все, что для этого нужно - подключить USB-накопитель к телевизору и наслаждаться просмотром. </span></p>";"";"";"VAT";"";"A";"https://service.parts/images/thumbnails/280/280/detailed/0/LCD_610_Sailing_Frt_3.jpg";"https://service.parts/images/detailed/0/LCD_610_Sailing_Frt_3.jpg"
"T0006UROBG";"ru";"Всё для дома";"6";"Электроника///Телевизоры и Видео///Плазменные телевизоры";"13199.60";"0.000";"12";"R";"";"exim/backup/images/lcd-tv-32C120-01.jpg#{[da]:;[de]:;[el]:;[en]:;[es]:;[fr]:;[it]:;[nl]:;[no]:;[ro]:;[ru]:;}";"Toshiba 32C120U 32"" Class 720P HD LCD TV";"<p><strong><span style=""font-size: small;"">Экран</span></strong></p><p><span style=""font-size: small;"">Диагональ экрана: 812.8 мм (32 "")</span><br /><span style=""font-size: small;""> Форматное соотношение: 16:9</span><br /><span style=""font-size: small;""> Яркость дисплея -</span><br /><span style=""font-size: small;""> Угол обзора по горизонтали -</span><br /><span style=""font-size: small;""> Угол обзора по вертикали -</span></p><p><strong><span style=""font-size: small;"">Вес и размеры</span></strong></p><p><span style=""font-size: small;""> Вес: 8301 г</span><br /><span style=""font-size: small;""> Вес с подставкой: 8981 г</span><br /><span style=""font-size: small;""> Ширина: 792.47 мм</span><br /><span style=""font-size: small;""> Глубина: 88.89 мм</span><br /><span style=""font-size: small;""> Высота: 502.92 мм</span><br /><span style=""font-size: small;""> Цветv Цвет продукта: черный</span></p><p><strong><span style=""font-size: small;"">Энергопитание</span></strong></p><p><span style=""font-size: small;""> Потребляемая мощность: 63 Вт</span><br /><span style=""font-size: small;""> Потребляемая мощность (режим ожидания): 0.2 Вт</span></p>";"";"";"VAT";"";"A";"https://service.parts/images/thumbnails/280/280/detailed/0/lcd-tv-32C120-01.jpg";"https://service.parts/images/detailed/0/lcd-tv-32C120-01.jpg"
"A0007DQ1TL";"ru";"Мегатон";"7";"Одежда///Мужская одежда";"2200.00";"0.000";"20";"R";"";"exim/backup/images/X41185_01.jpg#{[da]:;[de]:;[el]:;[en]:;[es]:;[fr]:;[it]:;[nl]:;[no]:;[ro]:;[ru]:;}";"Джемпер с капюшоном Trefoil Hoodie";"<p>   <span style=""font-size: small;"">Толстовка Adidas Trefoil Hoodie, с ее характерным большим капюшоном, нагрудным карманом-кенгуру и огромным трилистником, была необходимой частью гардероба каждого мужчины на протяжении десятилетий. Теперь ваша очередь присоединиться к команде в толстовках Adidas Trefoil Hoodie.</span></p>";"";"";"VAT";"";"A";"https://service.parts/images/thumbnails/280/280/detailed/0/X41185_01.jpg";"https://service.parts/images/detailed/0/X41185_01.jpg"
"W0008TGVI1";"ru";"Всё для дома";"8";"Электроника///Телевизоры и Видео///3D телевизоры";"29749.65";"0.000";"9";"R";"";"exim/backup/images/led-tv-32TL515-01.jpg#{[da]:;[de]:;[el]:;[en]:;[es]:;[fr]:;[it]:;[nl]:;[no]:;[ro]:;[ru]:;}";"LED HD телевизор Toshiba Class 1080P 32""";"<p><span style=""font-size: small;"">Toshiba Class 1080P&nbsp;</span><strong id=""internal-source-marker_0.9790936156641692"" style=""font-family: 'Times New Roman'; font-size: medium; font-weight: normal;""><span style=""font-size: 15px; color: #2d2d2d; vertical-align: baseline; white-space: pre-wrap;"">32""</span></strong><span style=""font-size: small;"">&nbsp;хорош со всех точек зрения. Прекрасные технические характеристики, высококачественные материалы и сборка, потрясающая красочность и реалистичность изображения, удивительная глубина звука &mdash; этот набор достоинств объединен в данной модели.</span></p>";"";"";"VAT";"";"A";"https://service.parts/images/thumbnails/280/194/detailed/0/led-tv-32TL515-01.jpg";"https://service.parts/images/detailed/0/led-tv-32TL515-01.jpg"
"F0009ORD06";"ru";"Всё для дома";"9";"Электроника///Телевизоры и Видео///3D телевизоры";"39999.60";"0.000";"15";"R";"";"exim/backup/images/led-tv-42TL515-01.jpg#{[da]:;[de]:;[el]:;[en]:;[es]:;[fr]:;[it]:;[nl]:;[no]:;[ro]:;[ru]:;}";"3D LED HD телевизор Toshiba 42TL515U  Class 1080P 42""";"<p>Toshiba 42"" Class 1080P 3D LED HD телевизор хорош со всех точек зрения. Прекрасные технические характеристики, высококачественные материалы и сборка, потрясающая красочность и реалистичность изображения, удивительная глубина звука &mdash; этот набор достоинств объединен в данной модели.</p>";"";"";"VAT";"";"A";"https://service.parts/images/thumbnails/280/194/detailed/0/led-tv-42TL515-01.jpg";"https://service.parts/images/detailed/0/led-tv-42TL515-01.jpg"
"L00102FQ97";"ru";"Всё для дома";"10";"Электроника///Телевизоры и Видео///3D телевизоры";"47999.60";"0.000";"7";"R";"";"exim/backup/images/47tl515.jpg#{[da]:;[de]:;[el]:;[en]:;[es]:;[fr]:;[it]:;[nl]:;[no]:;[ro]:;[ru]:;}";"3D LED HD телевизор Toshiba 47TL515U Class 1080P 47""";"<p><span style=""font-size: small;"">Toshiba 47"" Class 1080P 3D LED HD хорош со всех точек зрения. Прекрасные технические характеристики, высококачественные материалы и сборка, потрясающая красочность и реалистичность изображения, удивительная глубина звука &mdash; этот набор достоинств объединен в данной модели.</span></p>";"";"";"VAT";"";"A";"https://service.parts/images/thumbnails/280/280/detailed/0/47tl515.jpg";"https://service.parts/images/detailed/0/47tl515.jpg"
"Z0011CZSNI";"ru";"Мегатон";"11";"Одежда///Мужская одежда";"1200.00";"0.000";"49";"R";"";"exim/backup/images/X32444_01.jpg#{[da]:;[de]:;[el]:;[en]:;[es]:;[fr]:;[it]:;[nl]:;[no]:;[ro]:;[ru]:;}";"Футболка Adidas “Collegiate 72 Tee”";"<p><span style=""font-size: small;"">Футболка Adidas &ldquo;Collegiate 72 Tee&rdquo; с забавным принтом.</span></p>";"";"";"VAT";"";"A";"https://service.parts/images/thumbnails/280/280/detailed/0/X32444_01.jpg";"https://service.parts/images/detailed/0/X32444_01.jpg"
"U0012O5AF0";"ru";"Мегатон";"12";"Одежда///Мужская одежда";"1200.00";"0.000";"10";"R";"";"exim/backup/images/173283_0113298267324f438bac97eaf.jpg#{[da]:;[de]:;[el]:;[en]:;[es]:;[fr]:;[it]:;[nl]:;[no]:;[ro]:;[ru]:;}";"Брюки для разогрева Adidas";"<p>  <span style=""font-size: small;"">Брюки Adidas на боковой разъемной застежке-молнии. Идеальны для разогрева перед соревнованиями или тренировки.</span></p>";"";"";"VAT";"";"A";"https://service.parts/images/thumbnails/280/280/detailed/0/173283_0113298267324f438bac97eaf.jpg";"https://service.parts/images/detailed/0/173283_0113298267324f438bac97eaf.jpg"
