Product code;Language;Product id;Category;List price;Price;Weight;Quantity;Min quantity;Shipping freight;Date added;Downloadable;Files;Ship downloadable;Inventory tracking;Free shipping;Zero price action;Thumbnail;Detailed image;Product name;Description;Meta keywords;Meta description;Search words;Page title;Taxes;Features;Options;Secondary categories;SEO name;Short description;Status;Popularity;Vendor
"01010-61435";"ru";"3992";"Все///Komatsu";"0.00";"167.39";"0.000";"91";"0";"0.00";"24 Sep 2019 12:35:37";"N";"";"N";"B";"N";"R";"";"exim/backup/images/БОЛТ.png#{[da]:;[de]:;[el]:;[en]:;[es]:;[fr]:;[it]:;[nl]:;[no]:;[ro]:;[ru]:;}";"БОЛТ";"<p>01010-61435 БОЛТ,</p>";"";"";"";"";"VAT";"(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]";"";"";"01010-61435-ankr";"";"A";"3213";"КОМЕК МАШИНЕРИ"
"01010-61490";"ru";"3993";"Все///Komatsu";"0.00";"117.68";"0.000";"1";"0";"0.00";"24 Sep 2019 12:35:37";"N";"";"N";"B";"N";"R";"";"exim/backup/images/БОЛТ_ogkj-bp.png#{[da]:;[de]:;[el]:;[en]:;[es]:;[fr]:;[it]:;[nl]:;[no]:;[ro]:;[ru]:;}";"БОЛТ";"<p>01010-61490 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ</p><p><br /></p>";"";"";"";"";"VAT";"(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]";"";"";"01010-61490-ankr-ya-eyarhcpyummni-cnknbyni";"";"A";"1540";"КОМЕК МАШИНЕРИ"
"01010-61640";"ru";"3994";"Все///Komatsu";"0.00";"214.62";"0.000";"0";"0";"0.00";"24 Sep 2019 12:35:37";"N";"";"N";"B";"N";"R";"";"exim/backup/images/БОЛТ_7exj-bk.png#{[da]:;[de]:;[el]:;[en]:;[es]:;[fr]:;[it]:;[nl]:;[no]:;[ro]:;[ru]:;}";"БОЛТ";"<p>01010-61640 БОЛТ,</p>";"";"";"";"";"VAT";"(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]";"";"";"01010-61640-ankr";"";"A";"481";"КОМЕК МАШИНЕРИ"
"01010-61645";"ru";"3995";"Все///Komatsu";"0.00";"214.62";"0.000";"58";"0";"0.00";"24 Sep 2019 12:35:37";"N";"";"N";"B";"N";"R";"";"exim/backup/images/БОЛТ_gd7g-em.png#{[da]:;[de]:;[el]:;[en]:;[es]:;[fr]:;[it]:;[nl]:;[no]:;[ro]:;[ru]:;}";"БОЛТ";"01010-61645 БОЛТ, ";"";"";"";"";"VAT";"(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]";"";"";"01010-61645-ankr";"";"A";"1201";"КОМЕК МАШИНЕРИ"
"01010-61655";"ru";"3996";"Все///Komatsu";"0.00";"259.81";"0.000";"75";"0";"0.00";"24 Sep 2019 12:35:37";"N";"";"N";"B";"N";"R";"";"exim/backup/images/БОЛТ_afpk-zn.png#{[da]:;[de]:;[el]:;[en]:;[es]:;[fr]:;[it]:;[nl]:;[no]:;[ro]:;[ru]:;}";"БОЛТ";"01010-61655 БОЛТ, ";"";"";"";"";"VAT";"(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]";"";"";"01010-61655-ankr";"";"A";"577";"КОМЕК МАШИНЕРИ"
"01010-61660";"ru";"3997";"Все///Komatsu";"0.00";"102.51";"0.000";"15";"0";"0.00";"24 Sep 2019 12:35:37";"N";"";"N";"B";"N";"R";"";"exim/backup/images/БОЛТ_gpkw-l6.png#{[da]:;[de]:;[el]:;[en]:;[es]:;[fr]:;[it]:;[nl]:;[no]:;[ro]:;[ru]:;}";"БОЛТ";"01010-61660 БОЛТ 16ММ, ";"";"";"";"";"VAT";"(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]";"";"";"01010-61660-ankr-16ll";"";"A";"510";"КОМЕК МАШИНЕРИ"
"01010-61675";"ru";"3998";"Все///Komatsu";"0.00";"132.87";"0.000";"2";"0";"0.00";"24 Sep 2019 12:35:37";"N";"";"N";"B";"N";"R";"";"exim/backup/images/БОЛТ_oj83-uo.png#{[da]:;[de]:;[el]:;[en]:;[es]:;[fr]:;[it]:;[nl]:;[no]:;[ro]:;[ru]:;}";"БОЛТ";"01010-61675 БОЛТ, ";"";"";"";"";"VAT";"(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]";"";"";"01010-61675-ankr";"";"A";"118";"КОМЕК МАШИНЕРИ"
"01010-61690";"ru";"3999";"Все///Komatsu";"0.00";"140.45";"0.000";"13";"0";"0.00";"24 Sep 2019 12:35:37";"N";"";"N";"B";"N";"R";"";"exim/backup/images/БОЛТ_7s9c-vz.png#{[da]:;[de]:;[el]:;[en]:;[es]:;[fr]:;[it]:;[nl]:;[no]:;[ro]:;[ru]:;}";"БОЛТ";"01010-61690 БОЛТ, ";"";"";"";"";"VAT";"(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]";"";"";"01010-61690-ankr";"";"A";"209";"КОМЕК МАШИНЕРИ"
"01010-62040";"ru";"4000";"Все///Komatsu";"0.00";"113.89";"0.000";"19";"0";"0.00";"24 Sep 2019 12:35:37";"N";"";"N";"B";"N";"R";"";"exim/backup/images/БОЛТ_jysi-ge.png#{[da]:;[de]:;[el]:;[en]:;[es]:;[fr]:;[it]:;[nl]:;[no]:;[ro]:;[ru]:;}";"БОЛТ";"01010-62040 БОЛТ, ";"";"";"";"";"VAT";"(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]";"";"";"01010-62040-ankr";"";"A";"131";"КОМЕК МАШИНЕРИ"
"01010-62060";"ru";"4001";"Все///Komatsu";"0.00";"497.03";"0.000";"53";"0";"0.00";"24 Sep 2019 12:35:37";"N";"";"N";"B";"N";"R";"";"exim/backup/images/БОЛТ_x57k-ix.png#{[da]:;[de]:;[el]:;[en]:;[es]:;[fr]:;[it]:;[nl]:;[no]:;[ro]:;[ru]:;}";"БОЛТ";"01010-62060 БОЛТ 20ММ, ";"";"";"";"";"VAT";"(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]";"";"";"01010-62060-ankr-20ll";"";"A";"78";"КОМЕК МАШИНЕРИ"
"01010-62070";"ru";"4002";"Все///Komatsu";"0.00";"155.64";"0.000";"23";"0";"0.00";"24 Sep 2019 12:35:37";"N";"";"N";"B";"N";"R";"";"exim/backup/images/БОЛТ_3tch-wr.png#{[da]:;[de]:;[el]:;[en]:;[es]:;[fr]:;[it]:;[nl]:;[no]:;[ro]:;[ru]:;}";"БОЛТ";"01010-62070 БОЛТ 20ММ, ";"";"";"";"";"VAT";"(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]";"";"";"01010-62070-ankr-20ll";"";"A";"111";"КОМЕК МАШИНЕРИ"
"01010-62075";"ru";"4003";"Все///Komatsu";"0.00";"220.17";"0.000";"32";"0";"0.00";"24 Sep 2019 12:35:37";"N";"";"N";"B";"N";"R";"";"exim/backup/images/БОЛТ_j1kf-1y.png#{[da]:;[de]:;[el]:;[en]:;[es]:;[fr]:;[it]:;[nl]:;[no]:;[ro]:;[ru]:;}";"БОЛТ";"01010-62075 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ, ";"";"";"";"";"VAT";"(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]";"";"";"01010-62075-ankr-ya-eyarhcpyummni-cnknbyni";"";"A";"108";"КОМЕК МАШИНЕРИ"
"01010-62080";"ru";"4004";"Все///Komatsu";"0.00";"199.29";"0.000";"55";"0";"0.00";"24 Sep 2019 12:35:37";"N";"";"N";"B";"N";"R";"";"exim/backup/images/БОЛТ_yhxf-f5.png#{[da]:;[de]:;[el]:;[en]:;[es]:;[fr]:;[it]:;[nl]:;[no]:;[ro]:;[ru]:;}";"БОЛТ";"01010-62080 БОЛТ, ";"";"";"";"";"VAT";"(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]";"";"";"01010-62080-ankr";"";"A";"87";"КОМЕК МАШИНЕРИ"
"01010-62095";"ru";"4005";"Все///Komatsu";"0.00";"765.06";"0.000";"34";"0";"0.00";"24 Sep 2019 12:35:37";"N";"";"N";"B";"N";"R";"";"exim/backup/images/БОЛТ_ffb9-6s.png#{[da]:;[de]:;[el]:;[en]:;[es]:;[fr]:;[it]:;[nl]:;[no]:;[ro]:;[ru]:;}";"БОЛТ";"01010-62095 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ, ";"";"";"";"";"VAT";"(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]";"";"";"01010-62095-ankr-ya-eyarhcpyummni-cnknbyni";"";"A";"87";"КОМЕК МАШИНЕРИ"
